TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,Graphics,DeepSeek-V3-GateUP,8,512,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
2,ROCm,Graphics,DeepSeek-V3-Down,8,512,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
3,ROCm,Graphics,DeepSeek-V3-GateUP,8,1024,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
4,ROCm,Graphics,DeepSeek-V3-Down,8,1024,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
5,ROCm,Graphics,DeepSeek-V3-GateUP,8,2048,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
6,ROCm,Graphics,DeepSeek-V3-Down,8,2048,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
7,ROCm,Graphics,DeepSeek-V3-GateUP,8,4096,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
8,ROCm,Graphics,DeepSeek-V3-Down,8,4096,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
9,ROCm,Graphics,DeepSeek-V3-GateUP,8,8192,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
10,ROCm,Graphics,DeepSeek-V3-Down,8,8192,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
11,ROCm,Graphics,DeepSeek-V3-GateUP,8,16384,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
12,ROCm,Graphics,DeepSeek-V3-Down,8,16384,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
13,ROCm,Graphics,DeepSeek-V3-GateUP,16,512,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
14,ROCm,Graphics,DeepSeek-V3-Down,16,512,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
15,ROCm,Graphics,DeepSeek-V3-GateUP,16,1024,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
16,ROCm,Graphics,DeepSeek-V3-Down,16,1024,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
17,ROCm,Graphics,DeepSeek-V3-GateUP,16,2048,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
18,ROCm,Graphics,DeepSeek-V3-Down,16,2048,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
19,ROCm,Graphics,DeepSeek-V3-GateUP,16,4096,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
20,ROCm,Graphics,DeepSeek-V3-Down,16,4096,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
21,ROCm,Graphics,DeepSeek-V3-GateUP,16,8192,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
22,ROCm,Graphics,DeepSeek-V3-Down,16,8192,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
23,ROCm,Graphics,DeepSeek-V3-GateUP,16,16384,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
24,ROCm,Graphics,DeepSeek-V3-Down,16,16384,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
25,ROCm,Graphics,DeepSeek-V3-GateUP,32,512,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
26,ROCm,Graphics,DeepSeek-V3-Down,32,512,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
27,ROCm,Graphics,DeepSeek-V3-GateUP,32,1024,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
28,ROCm,Graphics,DeepSeek-V3-Down,32,1024,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
29,ROCm,Graphics,DeepSeek-V3-GateUP,32,2048,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
30,ROCm,Graphics,DeepSeek-V3-Down,32,2048,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
31,ROCm,Graphics,DeepSeek-V3-GateUP,32,4096,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
32,ROCm,Graphics,DeepSeek-V3-Down,32,4096,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
33,ROCm,Graphics,DeepSeek-V3-GateUP,32,8192,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
34,ROCm,Graphics,DeepSeek-V3-Down,32,8192,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
35,ROCm,Graphics,DeepSeek-V3-GateUP,32,16384,4096,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
36,ROCm,Graphics,DeepSeek-V3-Down,32,16384,7168,2048,bf16,ERROR,ERROR,0.00,ERROR,0.00
37,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,512,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
38,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,512,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
39,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,1024,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
40,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,1024,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
41,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,2048,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
42,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,2048,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
43,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,4096,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
44,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,4096,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
45,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,8192,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
46,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,8192,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
47,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,16384,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
48,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,16384,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
49,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,512,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
50,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,512,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
51,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,1024,6144,7168,bf16,ERROR,ERROR,0.00,ERROR,0.00
52,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,1024,7168,3072,bf16,ERROR,ERROR,0.00,ERROR,0.00
