TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,Graphics,DeepSeek-V3-GateUP,8,512,4096,7168,bf16,PASS,0.18,1350.79,0.75,638.76
2,ROCm,Graphics,DeepSeek-V3-Down,8,512,7168,2048,bf16,PASS,0.11,1068.48,0.43,561.55
3,ROCm,Graphics,DeepSeek-V3-GateUP,8,1024,4096,7168,bf16,PASS,0.34,1401.19,1.18,818.61
4,ROCm,Graphics,DeepSeek-V3-Down,8,1024,7168,2048,bf16,PASS,0.22,1116.01,0.55,870.87
5,ROCm,Graphics,DeepSeek-V3-GateUP,8,2048,4096,7168,bf16,PASS,0.68,1410.83,1.97,976.73
6,ROCm,Graphics,DeepSeek-V3-Down,8,2048,7168,2048,bf16,PASS,0.39,1241.21,0.95,1018.03
7,ROCm,Graphics,DeepSeek-V3-GateUP,8,4096,4096,7168,bf16,PASS,1.35,1428.95,3.67,1048.32
8,ROCm,Graphics,DeepSeek-V3-Down,8,4096,7168,2048,bf16,PASS,0.76,1271.32,1.74,1105.70
9,ROCm,Graphics,DeepSeek-V3-GateUP,8,8192,4096,7168,bf16,PASS,2.69,1430.22,7.14,1078.54
10,ROCm,Graphics,DeepSeek-V3-Down,8,8192,7168,2048,bf16,PASS,1.50,1285.20,3.37,1142.81
11,ROCm,Graphics,DeepSeek-V3-GateUP,8,16384,4096,7168,bf16,PASS,5.37,1432.47,14.03,1097.49
12,ROCm,Graphics,DeepSeek-V3-Down,8,16384,7168,2048,bf16,PASS,2.97,1294.28,6.64,1158.59
13,ROCm,Graphics,DeepSeek-V3-GateUP,16,512,4096,7168,bf16,PASS,0.35,1363.62,1.48,649.83
14,ROCm,Graphics,DeepSeek-V3-Down,16,512,7168,2048,bf16,PASS,0.22,1079.50,0.69,699.30
15,ROCm,Graphics,DeepSeek-V3-GateUP,16,1024,4096,7168,bf16,PASS,0.69,1399.83,2.27,848.98
16,ROCm,Graphics,DeepSeek-V3-Down,16,1024,7168,2048,bf16,PASS,0.39,1228.60,1.08,893.82
17,ROCm,Graphics,DeepSeek-V3-GateUP,16,2048,4096,7168,bf16,PASS,1.37,1408.87,3.97,968.49
18,ROCm,Graphics,DeepSeek-V3-Down,16,2048,7168,2048,bf16,PASS,0.77,1241.80,1.86,1033.58
19,ROCm,Graphics,DeepSeek-V3-GateUP,16,4096,4096,7168,bf16,PASS,2.71,1421.62,7.42,1037.86
20,ROCm,Graphics,DeepSeek-V3-Down,16,4096,7168,2048,bf16,PASS,1.52,1262.31,3.46,1112.50
21,ROCm,Graphics,DeepSeek-V3-GateUP,16,8192,4096,7168,bf16,PASS,5.39,1427.36,14.37,1071.03
22,ROCm,Graphics,DeepSeek-V3-Down,16,8192,7168,2048,bf16,PASS,3.01,1279.10,6.78,1134.82
23,ROCm,Graphics,DeepSeek-V3-GateUP,16,16384,4096,7168,bf16,PASS,10.77,1429.69,27.72,1110.61
24,ROCm,Graphics,DeepSeek-V3-Down,16,16384,7168,2048,bf16,PASS,5.97,1289.86,13.20,1166.00
25,ROCm,Graphics,DeepSeek-V3-GateUP,32,512,4096,7168,bf16,PASS,0.71,1346.81,2.90,664.41
26,ROCm,Graphics,DeepSeek-V3-Down,32,512,7168,2048,bf16,PASS,0.41,1182.18,1.35,710.08
27,ROCm,Graphics,DeepSeek-V3-GateUP,32,1024,4096,7168,bf16,PASS,1.39,1385.13,4.58,839.96
28,ROCm,Graphics,DeepSeek-V3-Down,32,1024,7168,2048,bf16,PASS,0.79,1212.96,2.13,901.94
29,ROCm,Graphics,DeepSeek-V3-GateUP,32,2048,4096,7168,bf16,PASS,2.75,1400.50,8.02,960.05
30,ROCm,Graphics,DeepSeek-V3-Down,32,2048,7168,2048,bf16,PASS,1.58,1221.07,3.72,1035.42
31,ROCm,Graphics,DeepSeek-V3-GateUP,32,4096,4096,7168,bf16,PASS,5.43,1416.86,14.95,1029.89
32,ROCm,Graphics,DeepSeek-V3-Down,32,4096,7168,2048,bf16,PASS,3.09,1247.24,6.98,1102.78
33,ROCm,Graphics,DeepSeek-V3-GateUP,32,8192,4096,7168,bf16,PASS,10.84,1419.67,28.42,1083.23
34,ROCm,Graphics,DeepSeek-V3-Down,32,8192,7168,2048,bf16,PASS,6.11,1259.69,13.51,1139.77
35,ROCm,Graphics,DeepSeek-V3-GateUP,32,16384,4096,7168,bf16,PASS,21.67,1420.40,55.63,1106.79
36,ROCm,Graphics,DeepSeek-V3-Down,32,16384,7168,2048,bf16,PASS,12.17,1264.95,26.30,1170.69
37,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,512,6144,7168,bf16,PASS,0.48,1122.66,1.63,662.39
38,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,512,7168,3072,bf16,PASS,0.24,1123.18,0.91,592.72
39,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,1024,6144,7168,bf16,PASS,0.82,1312.31,2.57,842.81
40,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,1024,7168,3072,bf16,PASS,0.46,1187.00,1.33,814.73
41,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,2048,6144,7168,bf16,PASS,1.54,1406.34,4.45,973.63
42,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,2048,7168,3072,bf16,PASS,0.86,1258.06,2.18,993.42
43,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,4096,6144,7168,bf16,PASS,3.06,1415.33,8.20,1055.77
44,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,4096,7168,3072,bf16,PASS,1.64,1321.35,3.99,1083.77
45,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,8192,6144,7168,bf16,PASS,6.09,1422.62,15.95,1085.88
46,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,8192,7168,3072,bf16,PASS,3.24,1334.19,7.81,1108.92
47,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,12,16384,6144,7168,bf16,PASS,12.15,1425.41,30.74,1126.54
48,ROCm,Graphics,DeepSeek-V4-Pro-Down,12,16384,7168,3072,bf16,PASS,6.43,1347.42,15.20,1139.49
49,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,512,6144,7168,bf16,PASS,0.85,1270.17,3.26,663.36
50,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,512,7168,3072,bf16,PASS,0.47,1144.19,1.68,645.56
51,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,1024,6144,7168,bf16,PASS,1.55,1399.48,5.08,852.83
52,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,1024,7168,3072,bf16,PASS,0.87,1239.21,2.52,858.21
53,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,2048,6144,7168,bf16,PASS,3.09,1402.96,8.80,984.46
54,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,2048,7168,3072,bf16,PASS,1.67,1292.61,4.28,1012.70
55,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,4096,6144,7168,bf16,PASS,6.13,1413.59,16.36,1058.32
56,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,4096,7168,3072,bf16,PASS,3.30,1313.85,8.09,1069.87
57,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,8192,6144,7168,bf16,PASS,12.21,1418.26,31.17,1111.29
58,ROCm,Graphics,DeepSeek-V4-Pro-Down,24,8192,7168,3072,bf16,PASS,6.53,1326.45,15.54,1114.13
59,ROCm,Graphics,DeepSeek-V4-Pro-GateUP,24,16384,6144,7168,bf16,PASS,24.35,1422.40,61.04,1134.86
