TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%)
1,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.131,518.69,10.31
2,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,1.2681,53.58,1.06
3,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,1.0564,64.32,1.28
4,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0848,400.54,7.96
5,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.646,52.59,1.04
6,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.5539,61.33,1.22
7,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1566,867.64,17.24
8,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,1.8942,71.74,1.43
9,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,2.0141,67.47,1.34
10,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.1064,638.61,12.69
11,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.9835,69.09,1.37
12,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,1.0328,65.79,1.31
13,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.2153,1262.21,25.08
14,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,3.7605,72.27,1.44
15,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,3.9505,68.8,1.37
16,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.1513,898.38,17.85
17,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,1.8901,71.9,1.43
18,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,1.9791,68.67,1.36
19,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.226,608.14,12.08
20,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,2.2704,60.53,1.2
21,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,2.238,61.41,1.22
22,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.1695,405.49,8.06
23,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.979,70.2,1.39
24,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,1.6085,42.72,0.85
25,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.3207,857.03,17.03
26,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,4.3829,62.72,1.25
27,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,4.2122,65.26,1.3
28,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.2289,600.51,11.93
29,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,2.4318,56.52,1.12
30,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,2.3037,59.66,1.19
31,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.4683,1174.02,23.33
32,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,7.8794,69.77,1.39
33,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,8.1036,67.84,1.35
34,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3047,902.0,17.92
35,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.3084,63.8,1.27
36,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.1808,65.75,1.31
37,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.5183,1060.62,21.07
38,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,7.6997,71.4,1.42
39,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,1,512,8192,8192,4096,bf16,PASS,8.2611,66.55,1.32
40,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,1,512,8192,4096,4096,bf16,PASS,0.3517,781.49,15.53
41,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,4.1,67.04,1.33
42,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,1,512,8192,4096,4096,bf16,PASS,4.1766,65.81,1.31
43,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,0.7332,1499.51,29.79
44,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,15.229,72.2,1.43
45,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,2,1024,16384,8192,4096,bf16,PASS,15.7411,69.85,1.39
46,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,0.6177,889.95,17.68
47,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,7.7251,71.16,1.41
48,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,2,1024,16384,4096,4096,bf16,PASS,8.0187,68.56,1.36
49,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,fwd,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,1.1136,1974.74,39.23
50,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,dgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,29.7613,73.89,1.47
51,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc1,wgrad,16,8,8192,4,2048,32768,8192,4096,bf16,PASS,30.9674,71.01,1.41
52,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,fwd,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,0.7108,1546.9,30.73
53,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,dgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,14.9773,73.41,1.46
54,ROCm,Graphics,HIPBLASLT,qwen3-235b-a22b,fc2,wgrad,16,8,8192,4,2048,32768,4096,4096,bf16,PASS,15.6861,70.09,1.39
55,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,1,128,4096,4096,7168,bf16,PASS,0.9499,253.2,5.03
56,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,3.824,62.9,1.25
57,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,1,128,4096,4096,7168,bf16,PASS,4.2088,57.15,1.14
58,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,1,128,4096,7168,2048,bf16,PASS,0.401,299.92,5.96
59,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,5.2743,22.8,0.45
60,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,1,128,4096,7168,2048,bf16,PASS,2.322,51.79,1.03
61,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,2,256,8192,4096,7168,bf16,PASS,1.0347,464.9,9.24
62,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,7.5922,63.36,1.26
63,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,2,256,8192,4096,7168,bf16,PASS,7.5791,63.47,1.26
64,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,2,256,8192,7168,2048,bf16,PASS,0.5038,477.45,9.49
65,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,5.4098,44.46,0.88
66,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,2,256,8192,7168,2048,bf16,PASS,4.0102,59.98,1.19
67,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,fwd,32,8,4096,4,512,16384,4096,7168,bf16,PASS,1.634,588.79,11.7
68,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,dgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,14.1864,67.82,1.35
69,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc1,wgrad,32,8,4096,4,512,16384,4096,7168,bf16,PASS,14.3215,67.18,1.33
70,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,fwd,32,8,4096,4,512,16384,7168,2048,bf16,PASS,0.6506,739.4,14.69
71,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,dgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,6.7279,71.5,1.42
72,ROCm,Graphics,HIPBLASLT,deepseek-v3,fc2,wgrad,32,8,4096,4,512,16384,7168,2048,bf16,PASS,7.5893,63.38,1.26
