TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%)
1,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0752,903.54,17.95
2,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.1203,564.68,11.22
3,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.1412,481.08,9.56
4,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0668,508.7,10.11
5,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0642,529.57,10.52
6,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0824,412.49,8.2
7,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.143,950.42,18.88
8,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1263,1076.0,21.38
9,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,wgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.2222,611.64,12.15
10,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,fwd,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0715,949.89,18.87
11,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0686,991.17,19.69
