Model,Layer,G,avg_m,M,N,K,transpose_impl,tile_cfg,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,rel_flydsl,rel_triton,flydsl_eq_triton,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32,x_nocache,x_N4,x_N8,x_ceiling,N*
gpt-oss-20b,fc1,4,512,2048,5760,2880,fast,BM128/BN128/BK128/mw2/nw2/nb2,126.56,0.001953125,0.0171,0.03059,0.07422,0.00403,0.10905,0.00357,0.1205,0.00255,915.55,563.89,15518.7,1.6236,0.37,2131.9,2272.8,2211.6,0.0016627811862572,0.0016627811862572,True,0.11171,0.09132,22.33,0.0188,0.09105,0.08277,10.0,0.0018,0.08236,0.07849,4.92,0.0025,0.07813,0.07635,2.33,0.00177,0.07581,0.07528,0.7,0.00067,0.07487,0.07475,0.16,0.0019,1.105,1.463,1.542,1.624,0.37
gpt-oss-20b,fc2,4,512,2048,2880,2880,fast,BM128/BN128/BK64/mw2/nw2/nb3,63.28,0.001953125,0.01127,0.11445,0.04365,0.00663,0.07199,0.00322,0.06449,0.00236,778.36,526.81,11777.0,1.4775,0.541,2143.9,2275.8,2226.4,0.0016548959341503,0.0016548959341503,True,0.07429,0.05492,35.28,0.00324,0.05845,0.04928,18.6,0.00288,0.05065,0.04647,9.0,0.00579,0.04678,0.04506,3.82,0.00076,0.04491,0.04435,1.25,0.00029,0.04401,0.044,0.02,0.00112,0.896,1.273,1.379,1.477,0.54
gpt-oss-20b,fc1,4,1024,4096,5760,2880,fast,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.0009765625,0.01692,0.00621,0.09671,0.00269,0.13,0.00376,0.12647,0.00125,1405.22,1074.54,15688.6,1.3077,0.568,2080.0,2199.2,2155.0,0.0016608647885283,0.0016608647885283,True,0.13197,0.11363,16.14,0.00784,0.1145,0.10517,8.88,0.00621,0.10489,0.10094,3.92,0.00234,0.10096,0.09882,2.16,0.00201,0.09842,0.09776,0.67,0.00079,0.09744,0.09724,0.21,0.00144,0.973,1.206,1.253,1.308,0.57
gpt-oss-20b,fc2,4,1024,4096,2880,2880,fast,BM256/BN256/BK64/mw2/nw2/nb3,63.28,0.0009765625,0.01112,0.00554,0.05837,0.00229,0.08436,0.00177,0.06868,0.0013,1164.17,989.34,11931.9,1.1767,1.078,2160.9,2258.1,2218.2,0.0016564935114257,0.0016564935114257,True,0.08644,0.06949,24.39,0.00308,0.07204,0.06393,12.7,0.00307,0.06515,0.06115,6.54,0.00282,0.06167,0.05976,3.21,0.0032,0.05985,0.05906,1.33,0.00171,0.05904,0.05871,0.55,0.00085,0.814,1.054,1.114,1.177,1.08
gpt-oss-20b,fc1,4,2048,8192,5760,2880,fast,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.00048828125,0.01695,0.01913,0.17396,0.00388,0.20429,0.0033,0.24782,0.00144,1562.36,1096.72,15654.5,1.4246,0.23,2085.1,2177.4,2142.5,0.001661725000231,0.001661725000231,True,0.2068,0.19092,8.32,0.00793,0.18821,0.18244,3.17,0.00179,0.18095,0.1782,1.54,0.00248,0.17683,0.17608,0.43,0.00231,0.17519,0.17502,0.1,0.00372,0.17488,0.17449,0.22,0.00331,1.213,1.37,1.401,1.425,0.23
gpt-oss-20b,fc2,4,2048,8192,2880,2880,fast,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.00048828125,0.01107,0.00683,0.09316,0.00257,0.11797,0.00308,0.13719,0.00114,1458.68,990.56,11986.6,1.4726,0.251,2023.8,2181.8,2124.2,0.0016557876169375,0.0016557876169375,True,0.12037,0.10423,15.48,0.00723,0.1061,0.0987,7.5,0.00705,0.0992,0.09593,3.41,0.00415,0.0962,0.09455,1.74,0.00169,0.0948,0.09386,1.0,0.00138,0.09376,0.09351,0.26,0.00221,1.163,1.383,1.426,1.473,0.25
qwen3-30b-a3b,fc1,16,512,8192,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.001953125,0.03453,0.00337,0.12524,0.00202,0.16921,0.00278,0.10276,0.0037,1097.42,1337.42,15549.2,0.8206,inf,2120.0,2147.6,2135.6,0.0016620554066645,0.0016620554066645,True,0.17215,0.15977,7.75,0.00808,0.14756,0.1425,3.55,0.00414,0.13613,0.13387,1.69,0.00135,0.13074,0.12955,0.92,0.0013,0.12775,0.1274,0.28,0.00208,0.12728,0.12632,0.76,0.00142,0.607,0.755,0.786,0.821,inf
qwen3-30b-a3b,fc2,16,512,8192,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.001953125,0.01545,0.03523,0.07476,0.00388,0.10902,0.00196,0.05734,0.00851,919.19,1198.45,17369.7,0.767,inf,2142.1,2226.1,2193.6,0.0016558178565257,0.0016558178565257,True,0.11022,0.09022,22.17,0.00213,0.09187,0.08249,11.38,0.00365,0.08318,0.07862,5.8,0.00112,0.0793,0.07669,3.4,0.00172,0.07679,0.07573,1.41,0.00065,0.07586,0.07524,0.81,0.00136,0.526,0.689,0.723,0.767,inf
qwen3-30b-a3b,fc1,16,1024,16384,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0009765625,0.03455,0.00899,0.18884,0.00257,0.22899,0.00217,0.19573,0.00275,1455.59,1404.35,15539.0,1.0365,5.015,2073.2,2128.0,2108.1,0.0016617140638136,0.0016617140638136,True,0.23474,0.22339,5.08,0.00943,0.20844,0.20612,1.12,0.00343,0.19773,0.19748,0.13,0.00258,0.19348,0.19316,0.16,0.00147,0.1903,0.191,-0.37,0.00309,0.18919,0.18992,-0.39,0.00175,0.855,0.99,1.012,1.036,5.01
qwen3-30b-a3b,fc2,16,1024,16384,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0009765625,0.01561,0.0195,0.10724,0.00249,0.14083,0.00143,0.10995,0.004,1281.66,1250.04,17196.7,1.0253,5.756,2111.9,2186.2,2159.6,0.0016560402879384,0.0016560402879384,True,0.1437,0.12284,16.98,0.02008,0.12431,0.11504,8.06,0.00537,0.11557,0.11114,3.98,0.00209,0.11135,0.10919,1.98,0.00206,0.10928,0.10821,0.99,0.00133,0.10807,0.10772,0.32,0.0026,0.781,0.951,0.987,1.025,5.76
