Model,Layer,G,avg_m,M,N,K,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,rel_flydsl,rel_triton,flydsl_eq_triton,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32
gpt-oss-20b,fc1,4,512,2048,5760,2880,126.56,0.001953125,0.23728,0.00167,0.07372,0.00207,0.31113,0.00127,0.11963,0.00163,921.64,568.0,1118.6,1.6226,5.169,2134.0,2258.0,2208.3,0.001662781186257228,0.001662781186257228,True,0.3117,0.311,0.23,0.00207,0.19214,0.19236,-0.12,0.00099,0.1332,0.13304,0.12,0.00091,0.10359,0.10338,0.2,0.00103,0.08886,0.08855,0.35,0.00203,0.0815,0.08114,0.45,0.0026
gpt-oss-20b,fc2,4,512,2048,2880,2880,63.28,0.001953125,0.12423,0.00048,0.04336,0.00147,0.17256,0.00094,0.06397,0.00184,783.49,531.09,1068.2,1.4753,6.028,2140.8,2245.5,2206.4,0.0016548959341503703,0.0016548959341503703,True,0.17296,0.1676,3.2,0.00077,0.108,0.10548,2.39,0.00093,0.07549,0.07442,1.44,0.00054,0.05941,0.05889,0.87,0.00235,0.05112,0.05113,-0.0,0.00027,0.04713,0.04724,-0.25,0.00107
gpt-oss-20b,fc1,4,1024,4096,5760,2880,126.56,0.0009765625,0.23725,0.00265,0.09623,0.00447,0.33425,0.00332,0.12622,0.00331,1412.14,1076.69,1118.7,1.3116,7.913,2090.0,2221.2,2166.8,0.0016608647885283242,0.0016608647885283242,True,0.33602,0.33348,0.76,0.00626,0.21515,0.21486,0.13,0.00129,0.15633,0.15555,0.5,0.00231,0.12685,0.12589,0.76,0.00137,0.11196,0.11106,0.81,0.00118,0.10407,0.10365,0.41,0.00081
gpt-oss-20b,fc2,4,1024,4096,2880,2880,63.28,0.0009765625,0.12435,0.00172,0.05828,0.00623,0.18651,0.00189,0.06912,0.00387,1165.8,983.06,1067.2,1.1859,11.478,2163.8,2251.6,2211.4,0.001656493511425701,0.001656493511425701,True,0.19089,0.18264,4.52,0.01838,0.1222,0.12046,1.44,0.00137,0.09016,0.08937,0.88,0.00084,0.07447,0.07383,0.87,0.00244,0.06656,0.06606,0.77,0.00312,0.06246,0.06217,0.47,0.00331
gpt-oss-20b,fc1,4,2048,8192,5760,2880,126.56,0.00048828125,0.23749,0.00218,0.17191,0.003,0.41129,0.00271,0.24675,0.0015,1581.02,1101.49,1117.6,1.4353,3.173,2092.2,2205.6,2156.9,0.0016617250002310092,0.0016617250002310092,True,0.41364,0.4094,1.04,0.00566,0.29291,0.29066,0.78,0.00102,0.23286,0.23128,0.68,0.00178,0.20305,0.2016,0.72,0.00114,0.18808,0.18675,0.71,0.00252,0.18091,0.17933,0.88,0.00156
gpt-oss-20b,fc2,4,2048,8192,2880,2880,63.28,0.00048828125,0.12438,0.00143,0.0929,0.00322,0.22166,0.00314,0.13663,0.00264,1462.84,994.61,1066.9,1.4708,2.844,2028.2,2207.5,2135.8,0.0016557876169375106,0.0016557876169375106,True,0.22266,0.21728,2.48,0.01571,0.15706,0.15509,1.27,0.0019,0.12517,0.12399,0.95,0.00228,0.1094,0.10845,0.88,0.00108,0.10121,0.10067,0.53,0.00244,0.09734,0.09679,0.58,0.00318
qwen3-30b-a3b,fc1,16,512,8192,4096,2048,256.0,0.001953125,0.42503,0.00194,0.12423,0.0018,0.54866,0.00159,0.10238,0.00498,1106.31,1342.39,1263.1,0.8241,inf,2144.0,2197.9,2172.2,0.0016620554066645852,0.0016620554066645852,True,0.55046,0.54926,0.22,0.00267,0.33821,0.33675,0.43,0.00119,0.23199,0.23049,0.65,0.00148,0.17874,0.17736,0.78,0.00191,0.15195,0.1508,0.76,0.00238,0.1384,0.13751,0.64,0.00198
qwen3-30b-a3b,fc2,16,512,8192,2048,2048,128.0,0.001953125,0.22899,0.00129,0.07516,0.00329,0.30383,0.00168,0.05786,0.00531,914.32,1187.61,1172.3,0.7699,inf,2155.8,2234.8,2199.6,0.001655817856525784,0.001655817856525784,True,0.30425,0.30415,0.03,0.00361,0.18898,0.18965,-0.35,0.00064,0.13184,0.13241,-0.42,0.00098,0.10337,0.10378,-0.4,0.00145,0.08919,0.08947,-0.32,0.00142,0.08231,0.08232,-0.01,0.00159
qwen3-30b-a3b,fc1,16,1024,16384,4096,2048,256.0,0.0009765625,0.42394,0.00122,0.18763,0.0044,0.61286,0.00292,0.19533,0.00185,1464.99,1407.25,1266.4,1.041,55.065,2095.4,2175.4,2137.0,0.0016617140638136181,0.0016617140638136181,True,0.61402,0.61157,0.4,0.00211,0.4004,0.3996,0.2,0.00072,0.29478,0.29362,0.39,0.00057,0.24143,0.24062,0.34,0.00129,0.21504,0.21413,0.43,0.00192,0.20147,0.20088,0.29,0.00295
qwen3-30b-a3b,fc2,16,1024,16384,2048,2048,128.0,0.0009765625,0.22918,0.00181,0.10751,0.00152,0.33503,0.0023,0.11072,0.00424,1278.43,1241.29,1171.3,1.0299,71.256,2120.5,2207.6,2166.9,0.0016560402879384837,0.0016560402879384837,True,0.33571,0.33668,-0.29,0.00693,0.22195,0.22209,-0.07,0.00204,0.16466,0.1648,-0.08,0.00243,0.13606,0.13615,-0.06,0.00362,0.12214,0.12183,0.26,0.00252,0.11477,0.11467,0.09,0.0019
