Model,Layer,G,avg_m,M,N,K,transpose_impl,tile_cfg,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32
gpt-oss-20b,fc1,4,1536,6144,5760,2880,fast,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.0006510416666666666,0.01714,0.03562,0.15988,0.00198,0.19029,0.0034,0.23644,0.00403,1274.98,862.13,15485.3,1.4789,0.224,2167.2,2250.6,2216.0,0.1946,0.17702,9.93,0.0136,0.17574,0.16845,4.33,0.0046,0.16754,0.16416,2.06,0.0021,0.16379,0.16202,1.09,0.00181,0.1621,0.16095,0.72,0.00209,0.16078,0.16042,0.23,0.00074
gpt-oss-20b,fc2,4,1536,6144,2880,2880,fast,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.0006510416666666666,0.01131,0.10952,0.08199,0.00351,0.10966,0.00201,0.12802,0.00312,1243.05,796.13,11737.2,1.5614,0.246,2099.6,2244.1,2188.6,0.11193,0.0933,19.97,0.01665,0.09542,0.08765,8.87,0.00223,0.08861,0.08482,4.46,0.00117,0.08534,0.08341,2.32,0.00073,0.08355,0.0827,1.03,0.0007,0.08263,0.08235,0.35,0.00113
gpt-oss-20b,fc1,4,3072,12288,5760,2880,fast,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.0003255208333333333,0.01705,0.02183,0.2523,0.0034,0.27952,0.00391,0.36579,0.00409,1615.85,1114.53,15565.6,1.4498,0.15,2086.4,2205.4,2157.9,0.28271,0.26936,4.96,0.00785,0.26446,0.26083,1.39,0.00212,0.25756,0.25657,0.39,0.00083,0.256,0.25444,0.62,0.00289,0.25379,0.25337,0.17,0.00279,0.25301,0.25284,0.07,0.00364
gpt-oss-20b,fc2,4,3072,12288,2880,2880,fast,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.0003255208333333333,0.01135,0.12844,0.13197,0.00582,0.15618,0.0017,0.2003,0.00175,1544.63,1017.67,11695.0,1.5178,0.166,1998.1,2186.5,2116.1,0.15853,0.14332,10.61,0.01195,0.14346,0.13764,4.22,0.00411,0.13789,0.13481,2.29,0.00317,0.13509,0.13339,1.28,0.00122,0.13395,0.13268,0.96,0.00504,0.13275,0.13232,0.32,0.00226
gpt-oss-20b,fc1,4,4096,16384,5760,2880,fast,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.000244140625,0.01695,0.01238,0.32657,0.00363,0.35217,0.00217,0.4014,0.00364,1664.53,1354.22,15659.8,1.2291,0.226,2090.2,2174.4,2136.1,0.35377,0.34352,2.98,0.00583,0.33855,0.33504,1.05,0.00123,0.33155,0.3308,0.23,0.00147,0.32915,0.32869,0.14,0.00186,0.32734,0.32763,-0.09,0.00108,0.32664,0.3271,-0.14,0.00029
gpt-oss-20b,fc2,4,4096,16384,2880,2880,fast,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.000244140625,0.01137,0.01013,0.17196,0.00279,0.19459,0.0029,0.21862,0.00321,1580.53,1243.19,11667.3,1.2714,0.244,2002.9,2154.6,2091.4,0.19412,0.18334,5.88,0.00905,0.18306,0.17765,3.05,0.00481,0.17702,0.17481,1.27,0.00238,0.17426,0.17338,0.5,0.0008,0.17326,0.17267,0.34,0.00169,0.17277,0.17232,0.26,0.00228
qwen3-30b-a3b,fc1,16,1536,24576,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0006510416666666666,0.03445,0.00476,0.25262,0.00361,0.2925,0.00444,0.29,0.00268,1632.19,1421.79,15584.0,1.148,0.922,2048.9,2157.2,2111.5,0.29498,0.28707,2.76,0.00573,0.2707,0.26984,0.32,0.00239,0.26204,0.26123,0.31,0.00192,0.25747,0.25692,0.21,0.0022,0.25519,0.25477,0.17,0.00215,0.25404,0.25369,0.14,0.00099
qwen3-30b-a3b,fc2,16,1536,24576,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0006510416666666666,0.01556,0.03571,0.13958,0.00424,0.17278,0.00394,0.16275,0.00345,1476.96,1266.74,17254.6,1.166,0.672,2104.4,2204.4,2158.8,0.17435,0.15514,12.38,0.01496,0.15548,0.14736,5.51,0.00184,0.14693,0.14347,2.41,0.00199,0.14327,0.14153,1.23,0.00167,0.14153,0.14056,0.69,0.00195,0.14094,0.14007,0.62,0.00096
qwen3-30b-a3b,fc1,16,3072,49152,4096,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0003255208333333333,0.03473,0.00545,0.44378,0.00417,0.47953,0.00338,0.56948,0.00361,1858.19,1448.05,15460.6,1.2832,0.276,2024.4,2143.6,2095.5,0.48327,0.47851,0.99,0.00569,0.4612,0.46115,0.01,0.00343,0.45242,0.45246,-0.01,0.0019,0.44789,0.44812,-0.05,0.00225,0.44595,0.44595,0.0,0.00106,0.44408,0.44487,-0.18,0.00337
qwen3-30b-a3b,fc2,16,3072,49152,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0003255208333333333,0.01549,0.03546,0.24097,0.00336,0.2707,0.00367,0.31959,0.00416,1711.04,1290.15,17332.2,1.3262,0.197,2064.4,2184.8,2133.5,0.2733,0.25646,6.57,0.0074,0.25648,0.24872,3.12,0.00717,0.24725,0.24485,0.98,0.00296,0.24553,0.24291,1.08,0.00154,0.24306,0.24194,0.46,0.00121,0.24206,0.24146,0.25,0.00228
