Model,Layer,G,avg_m,M,N,K,transpose_impl,tile_cfg,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,rel_flydsl,rel_triton,flydsl_eq_triton,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32
gpt-oss-20b,fc1,4,512,2048,5760,2880,torch,BM128/BN128/BK128/mw2/nw2/nb2,126.56,0.001953125,0.23794,0.00214,0.07433,0.00475,0.31181,0.00208,0.11947,0.00356,914.08,568.72,1115.5,1.6073,5.271,2140.1,2257.1,2210.7,0.001662781186257228,0.001662781186257228,True,0.31346,0.31228,0.38,0.00377,0.19265,0.19331,-0.34,0.00075,0.13322,0.13382,-0.45,0.00099,0.10372,0.10408,-0.34,0.00205,0.08872,0.08921,-0.55,0.00097,0.08156,0.08177,-0.26,0.00113
gpt-oss-20b,fc2,4,512,2048,2880,2880,torch,BM128/BN128/BK64/mw2/nw2/nb3,63.28,0.001953125,0.12417,0.00045,0.04344,0.00243,0.17246,0.0007,0.06395,0.00284,782.07,531.23,1068.8,1.4722,6.054,2148.5,2250.5,2211.9,0.0016548959341503703,0.0016548959341503703,True,0.17325,0.16761,3.36,0.00619,0.10823,0.10553,2.56,0.00058,0.07614,0.07448,2.23,0.00129,0.06027,0.05896,2.21,0.00361,0.05208,0.0512,1.72,0.00294,0.04781,0.04732,1.03,0.00111
gpt-oss-20b,fc1,4,1024,4096,5760,2880,torch,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.0009765625,0.23813,0.00146,0.09611,0.00416,0.33521,0.00218,0.12627,0.00229,1413.95,1076.23,1114.6,1.3138,7.896,2094.6,2210.2,2167.9,0.0016608647885283242,0.0016608647885283242,True,0.3363,0.33424,0.62,0.00213,0.216,0.21518,0.38,0.00222,0.15713,0.15564,0.95,0.00201,0.1269,0.12588,0.81,0.00147,0.11176,0.11099,0.69,0.00161,0.10424,0.10355,0.66,0.00148
gpt-oss-20b,fc2,4,1024,4096,2880,2880,torch,BM256/BN256/BK64/mw2/nw2/nb3,63.28,0.0009765625,0.12439,0.00071,0.05871,0.00226,0.18671,0.00104,0.06851,0.00267,1157.42,991.82,1066.9,1.167,12.69,2162.8,2236.6,2208.0,0.001656493511425701,0.001656493511425701,True,0.19023,0.1831,3.9,0.01302,0.12237,0.1209,1.22,0.00064,0.0901,0.0898,0.33,0.00086,0.07432,0.07425,0.09,0.00188,0.06609,0.06648,-0.58,0.00101,0.06209,0.06259,-0.81,0.00059
gpt-oss-20b,fc1,4,2048,8192,5760,2880,torch,BM256/BN256/BK128/mw2/nw2/nb2,126.56,0.00048828125,0.23856,0.00153,0.17231,0.00228,0.41355,0.0012,0.2465,0.00127,1577.33,1102.59,1112.6,1.4306,3.215,2084.1,2192.8,2156.8,0.0016617250002310092,0.0016617250002310092,True,0.41356,0.41087,0.66,0.00295,0.2926,0.29159,0.35,0.00164,0.23254,0.23195,0.25,0.00148,0.20253,0.20213,0.2,0.00157,0.18784,0.18722,0.33,0.00052,0.18026,0.17977,0.28,0.00106
gpt-oss-20b,fc2,4,2048,8192,2880,2880,torch,BM128/BN192/BK64/mw2/nw2/nb3,63.28,0.00048828125,0.12421,0.00093,0.09284,0.00177,0.22172,0.0026,0.13682,0.00205,1463.69,993.22,1068.5,1.4737,2.824,2034.9,2196.6,2136.6,0.0016557876169375106,0.0016557876169375106,True,0.22287,0.21705,2.68,0.012,0.15739,0.15495,1.58,0.0019,0.12547,0.1239,1.27,0.00299,0.10945,0.10837,1.0,0.00176,0.10118,0.10061,0.57,0.00131,0.09772,0.09673,1.03,0.00463
qwen3-30b-a3b,fc1,16,512,8192,4096,2048,torch,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.001953125,0.42299,0.00081,0.12503,0.00234,0.55011,0.00181,0.10282,0.00392,1099.26,1336.67,1269.2,0.8224,inf,2138.0,2182.2,2165.9,0.0016620554066645852,0.0016620554066645852,True,0.55011,0.54801,0.38,0.00289,0.33759,0.33652,0.32,0.00076,0.23095,0.23078,0.07,0.00125,0.17777,0.1779,-0.08,0.00102,0.15096,0.15147,-0.34,0.00153,0.13793,0.13825,-0.23,0.00263
qwen3-30b-a3b,fc2,16,512,8192,2048,2048,torch,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.001953125,0.23009,0.00031,0.07551,0.00183,0.30481,0.00152,0.05772,0.00813,910.09,1190.61,1166.7,0.7644,inf,2152.8,2219.5,2194.8,0.001655817856525784,0.001655817856525784,True,0.30708,0.3056,0.48,0.00655,0.18978,0.19055,-0.41,0.00047,0.13195,0.13303,-0.81,0.0007,0.10314,0.10427,-1.08,0.0005,0.08892,0.08989,-1.08,0.00095,0.08169,0.0827,-1.23,0.0018
qwen3-30b-a3b,fc1,16,1024,16384,4096,2048,torch,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.0009765625,0.42332,0.00055,0.18801,0.00233,0.61247,0.00117,0.19543,0.00201,1462.03,1406.52,1268.2,1.0395,57.06,2094.1,2157.2,2134.3,0.0016617140638136181,0.0016617140638136181,True,0.61227,0.61134,0.15,0.00083,0.399,0.39967,-0.17,0.00105,0.29325,0.29384,-0.2,0.00193,0.24044,0.24093,-0.2,0.00273,0.21438,0.21447,-0.04,0.00137,0.20075,0.20124,-0.24,0.00089
qwen3-30b-a3b,fc2,16,1024,16384,2048,2048,torch,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.0009765625,0.23013,0.00059,0.10771,0.0035,0.33629,0.0018,0.11003,0.00359,1276.05,1249.16,1166.5,1.0215,99.246,2116.5,2187.4,2160.8,0.0016560402879384837,0.0016560402879384837,True,0.33732,0.33784,-0.15,0.00597,0.22269,0.22277,-0.04,0.00178,0.16532,0.16524,0.05,0.00135,0.13635,0.13647,-0.09,0.00252,0.12189,0.12209,-0.17,0.00121,0.11466,0.1149,-0.2,0.00116
qwen3-30b-a3b,fc1,16,2048,32768,4096,2048,torch,BM256/BN256/BK128/mw2/nw2/nb2,256.0,0.00048828125,0.42273,0.00072,0.31414,0.00265,0.73569,0.00093,0.38524,0.00207,1750.03,1427.06,1270.0,1.2263,5.946,2052.6,2137.9,2106.7,0.0016616115885094145,0.0016616115885094145,True,0.73546,0.73687,-0.19,0.00235,0.52339,0.52551,-0.4,0.00106,0.41868,0.41982,-0.27,0.00187,0.36776,0.36698,0.21,0.00165,0.34209,0.34056,0.45,0.00251,0.32853,0.32735,0.36,0.00165
