Model,Layer,G,N,K,MiB,variant,ms,GBps,speedup_vs_torch,cv,correct,sclk_min,sclk_max
gpt-oss-20b,fc1,4,5760,2880,126.56,copy_same_bytes,0.02669,9943.0,8.8742,0.00269,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,torch_contiguous,0.23689,1120.4,1.0,0.00157,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,torch_copy_into,0.23627,1123.4,1.0026,0.00157,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,triton_32x32,0.0554,4790.7,4.2758,0.0043,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,triton_64x64,0.03889,6825.0,6.0914,0.00147,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,triton_128x64,0.02279,11644.0,10.3924,0.00311,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,triton_64x128,0.04102,6470.3,5.7748,0.00065,True,2205.2,2232.9
gpt-oss-20b,fc1,4,5760,2880,126.56,triton_128x128,0.017,15612.2,13.934,0.00357,True,2205.2,2232.9
gpt-oss-20b,fc2,4,2880,2880,63.28,copy_same_bytes,0.01196,11092.8,10.3303,0.00554,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,torch_contiguous,0.12359,1073.8,1.0,0.00063,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,torch_copy_into,0.12305,1078.5,1.0044,0.00079,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,triton_32x32,0.0309,4294.5,3.9993,0.00161,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,triton_64x64,0.01427,9303.1,8.6637,0.00191,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,triton_128x64,0.01176,11281.2,10.5058,0.00278,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,triton_64x128,0.01487,8925.1,8.3117,0.00133,True,2246.9,2252.9
gpt-oss-20b,fc2,4,2880,2880,63.28,triton_128x128,0.01121,11840.1,11.0263,0.00359,True,2246.9,2252.9
qwen3-30b-a3b,fc1,16,4096,2048,256.0,copy_same_bytes,0.07615,7050.0,5.5411,0.00063,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,torch_contiguous,0.42196,1272.3,1.0,0.00112,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,torch_copy_into,0.42114,1274.8,1.002,0.00079,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,triton_32x32,0.09254,5801.4,4.5597,0.01225,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,triton_64x64,0.06786,7911.6,6.2183,0.00068,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,triton_128x64,0.03298,16276.2,12.7926,0.00436,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,triton_64x128,0.07005,7664.1,6.0237,0.00112,True,2146.5,2157.0
qwen3-30b-a3b,fc1,16,4096,2048,256.0,triton_128x128,0.0343,15652.5,12.3023,0.00306,True,2146.5,2157.0
qwen3-30b-a3b,fc2,16,2048,2048,128.0,copy_same_bytes,0.02715,9888.5,8.435,0.00199,True,2218.8,2229.2
qwen3-30b-a3b,fc2,16,2048,2048,128.0,torch_contiguous,0.22898,1172.3,1.0,0.00081,True,2218.8,2229.2
qwen3-30b-a3b,fc2,16,2048,2048,128.0,torch_copy_into,0.22825,1176.1,1.0032,0.00063,True,2218.8,2229.2
qwen3-30b-a3b,fc2,16,2048,2048,128.0,triton_32x32,0.05457,4918.9,4.1958,0.0056,True,2218.8,2229.2
qwen3-30b-a3b,fc2,16,2048,2048,128.0,triton_64x64,0.03666,7322.6,6.2462,0.00121,True,2218.8,2229.2
