Model,Layer,G,avg_m,N,K,accum,cache_torch_tr_ms_per_dgrad,cache_fast_tr_ms_per_dgrad,nocache_torch_tr_ms_per_dgrad,nocache_fast_tr_ms_per_dgrad,triton_ms_per_dgrad,cache_torch_stats,cache_fast_stats,sclk_min,sclk_max
gpt-oss-20b,fc1,4,512,5760,2880,1,0.31465,0.10389,0.31479,0.11375,0.12482,"{'entries': 1, 'hits': 0, 'misses': 407, 'invalidations': 406, 'evictions': 0}","{'entries': 1, 'hits': 0, 'misses': 407, 'invalidations': 406, 'evictions': 0}",2257.0,2274.9
gpt-oss-20b,fc1,4,512,5760,2880,2,0.19441,0.08913,0.31372,0.11196,0.1226,"{'entries': 1, 'hits': 407, 'misses': 407, 'invalidations': 406, 'evictions': 0}","{'entries': 1, 'hits': 407, 'misses': 407, 'invalidations': 406, 'evictions': 0}",2232.4,2236.6
gpt-oss-20b,fc1,4,512,5760,2880,4,0.13444,0.08146,0.31214,0.11039,0.12096,"{'entries': 1, 'hits': 1221, 'misses': 407, 'invalidations': 406, 'evictions': 0}","{'entries': 1, 'hits': 1221, 'misses': 407, 'invalidations': 406, 'evictions': 0}",2224.6,2229.2
gpt-oss-20b,fc1,4,512,5760,2880,8,0.1041,0.07718,0.31216,0.1097,0.12075,"{'entries': 1, 'hits': 2114, 'misses': 302, 'invalidations': 301, 'evictions': 0}","{'entries': 1, 'hits': 2709, 'misses': 387, 'invalidations': 386, 'evictions': 0}",2221.2,2224.1
qwen3-235b-a22b,fc1,16,2048,8192,4096,1,2.6511,1.24404,2.65193,1.24387,1.45874,"{'entries': 1, 'hits': 0, 'misses': 102, 'invalidations': 101, 'evictions': 0}","{'entries': 1, 'hits': 0, 'misses': 207, 'invalidations': 206, 'evictions': 0}",2075.9,2081.0
qwen3-235b-a22b,fc1,16,2048,8192,4096,2,1.89437,1.18493,2.65554,1.24508,1.46098,"{'entries': 1, 'hits': 72, 'misses': 72, 'invalidations': 71, 'evictions': 0}","{'entries': 1, 'hits': 112, 'misses': 112, 'invalidations': 111, 'evictions': 0}",2065.0,2081.5
qwen3-235b-a22b,fc1,16,2048,8192,4096,4,1.50956,1.15239,2.65548,1.24628,1.46157,"{'entries': 1, 'hits': 141, 'misses': 47, 'invalidations': 46, 'evictions': 0}","{'entries': 1, 'hits': 186, 'misses': 62, 'invalidations': 61, 'evictions': 0}",2054.2,2069.6
qwen3-235b-a22b,fc1,16,2048,8192,4096,8,1.31464,1.13467,2.65395,1.24642,1.4611,"{'entries': 1, 'hits': 224, 'misses': 32, 'invalidations': 31, 'evictions': 0}","{'entries': 1, 'hits': 259, 'misses': 37, 'invalidations': 36, 'evictions': 0}",2051.0,2070.1
deepseek-v3,fc1,32,128,4096,7168,1,3.24259,0.53408,3.25723,0.53359,0.39579,"{'entries': 1, 'hits': 0, 'misses': 82, 'invalidations': 81, 'evictions': 0}","{'entries': 1, 'hits': 0, 'misses': 407, 'invalidations': 406, 'evictions': 0}",2106.5,2115.2
deepseek-v3,fc1,32,128,4096,7168,2,1.77975,0.41377,3.2525,0.53216,0.39391,"{'entries': 1, 'hits': 77, 'misses': 77, 'invalidations': 76, 'evictions': 0}","{'entries': 1, 'hits': 292, 'misses': 292, 'invalidations': 291, 'evictions': 0}",2099.4,2108.1
deepseek-v3,fc1,32,128,4096,7168,4,1.05671,0.35359,3.248,0.53046,0.39425,"{'entries': 1, 'hits': 201, 'misses': 67, 'invalidations': 66, 'evictions': 0}","{'entries': 1, 'hits': 546, 'misses': 182, 'invalidations': 181, 'evictions': 0}",2094.6,2106.0
deepseek-v3,fc1,32,128,4096,7168,8,0.6909,0.32644,3.24863,0.5316,0.39349,"{'entries': 1, 'hits': 364, 'misses': 52, 'invalidations': 51, 'evictions': 0}","{'entries': 1, 'hits': 714, 'misses': 102, 'invalidations': 101, 'evictions': 0}",2095.1,2107.5
deepseek-v3,fc2,32,512,7168,2048,1,1.97247,0.4536,1.9797,0.45534,0.34477,"{'entries': 1, 'hits': 0, 'misses': 132, 'invalidations': 131, 'evictions': 0}","{'entries': 1, 'hits': 0, 'misses': 407, 'invalidations': 406, 'evictions': 0}",2097.8,2107.8
deepseek-v3,fc2,32,512,7168,2048,2,1.15737,0.39613,1.9782,0.4541,0.34374,"{'entries': 1, 'hits': 112, 'misses': 112, 'invalidations': 111, 'evictions': 0}","{'entries': 1, 'hits': 322, 'misses': 322, 'invalidations': 321, 'evictions': 0}",2069.9,2073.4
deepseek-v3,fc2,32,512,7168,2048,4,0.74975,0.36706,1.97789,0.45309,0.34288,"{'entries': 1, 'hits': 276, 'misses': 92, 'invalidations': 91, 'evictions': 0}","{'entries': 1, 'hits': 531, 'misses': 177, 'invalidations': 176, 'evictions': 0}",2060.8,2069.1
deepseek-v3,fc2,32,512,7168,2048,8,0.54658,0.35239,1.97821,0.4532,0.34249,"{'entries': 1, 'hits': 434, 'misses': 62, 'invalidations': 61, 'evictions': 0}","{'entries': 1, 'hits': 679, 'misses': 97, 'invalidations': 96, 'evictions': 0}",2065.0,2073.6
