TestID_h,Platform_h,GPU_h,Backend_h,Model,Layer,Direction_h,G_h,EP_h,Seq_h,Batch,AvgM_h,TotalM_h,N_h,K_h,Dtype_h,Check_h,Time (ms)_h,TFLOPS_h,MFU (%)_h,cv (%)_h,Config_h,sclk (MHz)_h,TestID_t,Platform_t,GPU_t,Backend_t,Direction_t,G_t,EP_t,Seq_t,AvgM_t,TotalM_t,N_t,K_t,Dtype_t,Check_t,Time (ms)_t,TFLOPS_t,MFU (%)_t,cv (%)_t,Config_t,sclk (MHz)_t,ratio,transpose_ms,weight_GB,transpose_TBps
2,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0728,932.95,18.54,0.16,BM128/BN128/BK128/mw2/nw2/nb2,2305.4,3,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,512,2048,5760,2880,bf16,PASS,0.3069,221.38,4.4,0.219,BM128/BN128/BK128/mw2/nw2/nb2,2268.2,4.21565934065934,0.2341,0.1327104,1.13379239641179
6,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0401,846.78,16.82,0.68,BM128/BN128/BK64/mw2/nw2/nb3,2328.9,7,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,512,2048,2880,2880,bf16,PASS,0.1709,198.74,3.95,0.135,BM128/BN128/BK64/mw2/nw2/nb3,2295.8,4.2618453865336665,0.1308,0.0663552,1.0146055045871558
10,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.0953,1425.72,28.33,0.395,BM256/BN256/BK128/mw2/nw2/nb2,2275.5,11,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,1024,4096,5760,2880,bf16,PASS,0.33,411.83,8.18,0.2,BM256/BN256/BK128/mw2/nw2/nb2,2250.6,3.4627492130115427,0.23470000000000002,0.1327104,1.1308939071154667
14,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0568,1195.8,23.76,0.598,BM256/BN256/BK64/mw2/nw2/nb3,2311.6,15,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,1024,4096,2880,2880,bf16,PASS,0.1838,369.67,7.34,0.157,BM256/BN256/BK64/mw2/nw2/nb3,2288.1,3.235915492957746,0.127,0.0663552,1.0449637795275593
18,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.17,1598.8,31.77,0.803,BM256/BN256/BK128/mw2/nw2/nb2,2231.1,19,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,2048,8192,5760,2880,bf16,PASS,0.4058,669.73,13.31,0.457,BM256/BN256/BK128/mw2/nw2/nb2,2221.0,2.3870588235294115,0.23579999999999998,0.1327104,1.1256183206106871
22,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.0903,1504.89,29.9,0.251,BM128/BN192/BK64/mw2/nw2/nb3,2252.2,23,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,4,8,4096,2048,8192,2880,2880,bf16,PASS,0.2167,627.25,12.46,0.337,BM128/BN192/BK64/mw2/nw2/nb3,2243.9,2.3997785160575855,0.1264,0.0663552,1.0499240506329113
26,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1239,1109.53,22.04,0.269,BM256/BN256/BK128/mw2/nw2/nb2,2269.8,27,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,16,8,8192,512,8192,4096,2048,bf16,PASS,0.5424,253.38,5.03,0.146,BM256/BN256/BK128/mw2/nw2/nb2,2246.2,4.37772397094431,0.4185,0.268435456,1.28284566786141
30,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.0722,951.98,18.91,0.61,BM256/BN256/BK128/mw2/nw2/nb2,2303.9,31,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,16,8,8192,512,8192,2048,2048,bf16,PASS,0.2998,229.21,4.55,0.226,BM256/BN256/BK128/mw2/nw2/nb2,2273.0,4.15235457063712,0.22760000000000002,0.134217728,1.1794176449912126
34,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.1854,1482.7,29.46,0.403,BM256/BN256/BK128/mw2/nw2/nb2,2225.6,35,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,16,8,8192,1024,16384,4096,2048,bf16,PASS,0.6029,455.94,9.06,0.125,BM256/BN256/BK128/mw2/nw2/nb2,2220.9,3.251887810140237,0.4175,0.268435456,1.2859183520958084
38,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.105,1308.32,25.99,0.593,BM256/BN256/BK128/mw2/nw2/nb2,2275.2,39,ROCm,Graphics,FLYDSL-STANDALONE,dgrad_tr,16,8,8192,1024,16384,2048,2048,bf16,PASS,0.3318,414.21,8.23,0.109,BM256/BN256/BK128/mw2/nw2/nb2,2254.1,3.16,0.2268,0.134217728,1.1835778483245152
