TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
1,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0773,878.77,17.46,0.39,BM128/BN128/BK64/mw2/nw2/nb3,2314.5
2,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0728,932.95,18.54,0.16,BM128/BN128/BK128/mw2/nw2/nb2,2305.4
3,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad_tr,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.3069,221.38,4.4,0.219,BM128/BN128/BK128/mw2/nw2/nb2,2268.2
4,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0683,994.68,19.76,0.146,BM256/BN256/BK128/mw4/nw2/nb2,2312.0
5,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0405,838.19,16.65,0.638,BM128/BN128/BK64/mw2/nw2/nb3,2325.4
6,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0401,846.78,16.82,0.68,BM128/BN128/BK64/mw2/nw2/nb3,2328.9
7,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad_tr,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.1709,198.74,3.95,0.135,BM128/BN128/BK64/mw2/nw2/nb3,2295.8
8,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0462,736.08,14.62,0.324,BM256/BN256/BK128/mw4/nw2/nb2,2327.0
9,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1038,1309.04,26.01,0.445,BM256/BN256/BK64/mw2/nw2/nb3,2289.8
10,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.0953,1425.72,28.33,0.395,BM256/BN256/BK128/mw2/nw2/nb2,2275.5
11,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad_tr,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.33,411.83,8.18,0.2,BM256/BN256/BK128/mw2/nw2/nb2,2250.6
12,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,wgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1078,1260.79,25.05,1.075,BM256/BN256/BK128/mw4/nw2/nb2,2280.0
13,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,fwd,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0562,1208.25,24.01,0.727,BM256/BN256/BK64/mw2/nw2/nb3,2305.9
14,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0568,1195.8,23.76,0.598,BM256/BN256/BK64/mw2/nw2/nb3,2311.6
15,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad_tr,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.1838,369.67,7.34,0.157,BM256/BN256/BK64/mw2/nw2/nb3,2288.1
16,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,wgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0689,986.46,19.6,0.225,BM256/BN256/BK128/mw4/nw2/nb2,2311.4
17,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,fwd,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.1741,1560.85,31.01,0.575,BM128/BN192/BK64/mw2/nw2/nb3,2213.8
18,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.17,1598.8,31.77,0.803,BM256/BN256/BK128/mw2/nw2/nb2,2231.1
19,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad_tr,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.4058,669.73,13.31,0.457,BM256/BN256/BK128/mw2/nw2/nb2,2221.0
20,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,wgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.1927,1410.26,28.02,0.255,BM256/BN256/BK128/mw4/nw2/nb2,2234.1
21,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,fwd,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.0903,1505.74,29.92,0.469,BM128/BN192/BK64/mw2/nw2/nb3,2251.9
22,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.0903,1504.89,29.9,0.251,BM128/BN192/BK64/mw2/nw2/nb3,2252.2
23,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad_tr,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.2167,627.25,12.46,0.337,BM128/BN192/BK64/mw2/nw2/nb3,2243.9
24,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,wgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.1154,1177.21,23.39,0.302,BM256/BN256/BK128/mw4/nw2/nb2,2277.4
25,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,fwd,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1116,1231.77,24.47,0.72,BM256/BN256/BK128/mw2/nw2/nb2,2262.0
26,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1239,1109.53,22.04,0.269,BM256/BN256/BK128/mw2/nw2/nb2,2269.8
27,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.5424,253.38,5.03,0.146,BM256/BN256/BK128/mw2/nw2/nb2,2246.2
28,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.1106,1242.78,24.69,0.274,BM256/BN256/BK128/mw4/nw2/nb2,2286.8
29,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.0726,947.11,18.82,0.783,BM256/BN256/BK128/mw2/nw2/nb2,2301.8
30,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.0722,951.98,18.91,0.61,BM256/BN256/BK128/mw2/nw2/nb2,2303.9
31,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.2998,229.21,4.55,0.226,BM256/BN256/BK128/mw2/nw2/nb2,2273.0
32,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.0569,1208.26,24.01,0.34,BM256/BN256/BK128/mw4/nw2/nb2,2310.9
33,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,fwd,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.177,1552.78,30.85,0.618,BM256/BN256/BK128/mw2/nw2/nb2,2233.6
34,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.1854,1482.7,29.46,0.403,BM256/BN256/BK128/mw2/nw2/nb2,2225.6
35,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.6029,455.94,9.06,0.125,BM256/BN256/BK128/mw2/nw2/nb2,2220.9
36,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.1877,1464.27,29.09,0.555,BM256/BN256/BK128/mw4/nw2/nb2,2230.6
37,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.1053,1304.96,25.93,1.257,BM256/BN256/BK128/mw2/nw2/nb2,2269.4
38,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.105,1308.32,25.99,0.593,BM256/BN256/BK128/mw2/nw2/nb2,2275.2
39,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.3318,414.21,8.23,0.109,BM256/BN256/BK128/mw2/nw2/nb2,2254.1
40,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.0948,1450.39,28.82,0.487,BM256/BN256/BK128/mw4/nw2/nb2,2273.8
41,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,fwd,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3127,1758.29,34.93,0.651,BM256/BN256/BK128/mw2/nw2/nb2,2167.9
42,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3111,1766.98,35.11,0.397,BM256/BN256/BK128/mw2/nw2/nb2,2157.2
43,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,dgrad_tr,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.7266,756.6,15.03,0.352,BM256/BN256/BK128/mw2/nw2/nb2,2182.5
44,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc1,wgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.3293,1669.38,33.17,0.193,BM256/BN256/BK128/mw4/nw2/nb2,2164.8
45,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,fwd,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.1716,1601.75,31.82,0.736,BM256/BN256/BK128/mw2/nw2/nb2,2216.2
46,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.171,1607.46,31.94,1.163,BM256/BN256/BK128/mw2/nw2/nb2,2223.5
47,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,dgrad_tr,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3977,691.19,13.73,0.339,BM256/BN256/BK128/mw2/nw2/nb2,2223.5
48,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.1693,1623.9,32.26,0.352,BM256/BN256/BK128/mw4/nw2/nb2,2217.0
49,ROCm,Graphics,FLYDSL-STANDALONE,qwen3-235b-a22b,fc1,fwd,16,8,8192,1,512,8192,8192,4096,bf16,PASS,0.385,1428.05,28.37,0.408,BM256/BN256/BK128/mw2/nw2/nb2,2125.6
