TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
1,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0777,874.28,17.37,0.684,BM128/BN128/BK64/mw2/nw2/nb3,2368.5
2,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0757,897.26,17.83,1.716,BM128/BN128/BK128/mw2/nw2/nb2,2365.9
3,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad_tr,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.3064,221.74,4.41,0.001,BM128/BN128/BK128/mw2/nw2/nb2,2358.0
4,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0788,862.71,17.14,0.04,BM256/BN256/BK128/mw4/nw2/nb2,2368.6
5,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.059,576.0,11.44,6.928,BM128/BN128/BK64/mw2/nw2/nb3,2371.0
6,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0553,613.86,12.2,0.861,BM128/BN128/BK64/mw2/nw2/nb3,2371.8
7,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,dgrad_tr,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.1696,200.37,3.98,0.098,BM128/BN128/BK64/mw2/nw2/nb3,2365.0
8,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0506,671.48,13.34,0.999,BM256/BN256/BK128/mw4/nw2/nb2,2369.0
9,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1053,1290.18,25.63,0.015,BM256/BN256/BK64/mw2/nw2/nb3,2362.8
10,ROCm,Graphics,FLYDSL-STANDALONE,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.0956,1421.83,28.25,0.175,BM256/BN256/BK128/mw2/nw2/nb2,2361.0
