TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
1,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.1336,508.41,10.1,0.863,,2343.5
2,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,1.2527,54.24,1.08,0.083,,2317.8
3,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,1.0546,64.43,1.28,0.113,,2300.6
4,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.103,329.8,6.55,0.153,,2330.8
5,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.6465,52.55,1.04,0.237,,2330.6
6,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.5557,61.14,1.21,0.087,,2318.5
7,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.1588,855.7,17.0,0.061,,2322.5
8,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,1.8941,71.75,1.43,0.072,,2291.6
9,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,2.012,67.54,1.34,0.145,,2279.6
10,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.1161,585.25,11.63,1.142,,2318.6
11,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.984,69.05,1.37,0.02,,2307.1
12,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,1.0314,65.88,1.31,0.086,,2298.2
13,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,fwd,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.2166,1254.89,24.93,0.375,,2296.1
14,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,dgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,3.8313,70.94,1.41,1.48,,2277.9
15,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc1,wgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,3.9554,68.71,1.37,0.081,,2265.8
16,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,fwd,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,0.1503,904.4,17.97,1.034,,2305.1
17,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,dgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,1.8902,71.89,1.43,0.027,,2288.2
18,ROCm,Graphics,HIPBLASLT,gpt-oss-20b,fc2,wgrad,4,8,4096,4,2048,8192,2880,2880,bf16,PASS,1.9805,68.62,1.36,0.096,,2278.9
19,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,1,512,8192,4096,2048,bf16,PASS,0.2274,604.39,12.01,0.608,,2311.6
20,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,2.1675,63.41,1.26,4.687,,2304.5
21,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,1,512,8192,4096,2048,bf16,PASS,2.2206,61.89,1.23,0.033,,2284.4
22,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.21,327.16,6.5,0.723,,2322.8
23,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,0.9831,69.9,1.39,0.083,,2313.2
24,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,1,512,8192,2048,2048,bf16,PASS,1.181,58.19,1.16,2.941,,2301.9
25,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,0.3193,860.77,17.1,0.166,,2305.4
26,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,4.1748,65.84,1.31,0.687,,2292.2
27,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,2,1024,16384,4096,2048,bf16,PASS,4.2163,65.19,1.3,0.063,,2275.2
28,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,0.228,602.92,11.98,0.432,,2312.8
29,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,2.3368,58.81,1.17,0.921,,2302.5
30,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,2,1024,16384,2048,2048,bf16,PASS,2.2266,61.73,1.23,0.362,,2286.5
31,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,fwd,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,0.4692,1171.57,23.28,0.804,,2253.5
32,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,dgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,7.7369,71.06,1.41,0.389,,2281.5
33,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc1,wgrad,16,8,8192,4,2048,32768,4096,2048,bf16,PASS,8.1941,67.09,1.33,0.288,,2270.9
34,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,fwd,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,0.3049,901.67,17.91,0.322,,2296.0
35,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,dgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.4984,61.11,1.21,1.417,,2290.1
36,ROCm,Graphics,HIPBLASLT,qwen3-30b-a3b,fc2,wgrad,16,8,8192,4,2048,32768,2048,2048,bf16,PASS,4.1822,65.73,1.31,0.331,,2274.9
