TestID,Platform,GPU,Backend,Model,Layer,Direction,G,EP,Seq,Batch,AvgM,TotalM,N,K,Dtype,Check,Time (ms),TFLOPS,MFU (%),cv (%),Config,sclk (MHz)
1,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,fwd,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.0744,913.11,18.14,0.374,,2339.9
2,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,dgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.1197,567.87,11.28,0.099,,2335.1
3,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,wgrad,4,8,4096,1,512,2048,5760,2880,bf16,PASS,0.1413,480.76,9.55,0.111,,2325.4
4,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,fwd,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0672,505.7,10.05,0.249,,2337.0
5,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,dgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.0639,531.86,10.57,0.213,,2341.1
6,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,wgrad,4,8,4096,1,512,2048,2880,2880,bf16,PASS,0.082,414.35,8.23,0.141,,2338.9
7,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,fwd,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.142,957.12,19.02,0.345,,2311.4
8,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,dgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.126,1078.87,21.44,0.098,,2305.2
9,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,wgrad,4,8,4096,2,1024,4096,5760,2880,bf16,PASS,0.224,606.62,12.05,0.087,,2306.5
10,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,fwd,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0713,952.85,18.93,0.155,,2318.9
11,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,dgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.0682,996.03,19.79,0.14,,2324.2
12,ROCm,Graphics,TRITON,gpt-oss-20b,fc2,wgrad,4,8,4096,2,1024,4096,2880,2880,bf16,PASS,0.1283,529.61,10.52,0.184,,2324.0
13,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,fwd,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.2238,1214.44,24.13,0.615,,2263.0
14,ROCm,Graphics,TRITON,gpt-oss-20b,fc1,dgrad,4,8,4096,4,2048,8192,5760,2880,bf16,PASS,0.2442,1112.96,22.11,0.305,,2266.6
