Model,Layer,Batch,AvgM,Direction,Time (ms),TFLOPS,MFU (%),cv (%),Config,TFLOPS_tri,vs_tri,TFLOPS_hbl,vs_hbl
gpt-oss-20b,fc1,1,512,dgrad,0.0728,932.95,18.54,0.16,BM128/BN128/BK128/mw2/nw2/nb2,567.87,1.643,54.24,17.2
gpt-oss-20b,fc1,1,512,fwd,0.0773,878.77,17.46,0.39,BM128/BN128/BK64/mw2/nw2/nb3,913.11,0.962,508.41,1.728
gpt-oss-20b,fc1,1,512,wgrad,0.0683,994.68,19.76,0.146,BM256/BN256/BK128/mw4/nw2/nb2,480.76,2.069,64.43,15.438
gpt-oss-20b,fc1,2,1024,dgrad,0.0953,1425.72,28.33,0.395,BM256/BN256/BK128/mw2/nw2/nb2,1078.87,1.321,71.75,19.871
gpt-oss-20b,fc1,2,1024,fwd,0.1038,1309.04,26.01,0.445,BM256/BN256/BK64/mw2/nw2/nb3,957.12,1.368,855.7,1.53
gpt-oss-20b,fc1,2,1024,wgrad,0.1078,1260.79,25.05,1.075,BM256/BN256/BK128/mw4/nw2/nb2,606.62,2.078,67.54,18.667
gpt-oss-20b,fc1,4,2048,dgrad,0.17,1598.8,31.77,0.803,BM256/BN256/BK128/mw2/nw2/nb2,1112.96,1.437,70.94,22.537
gpt-oss-20b,fc1,4,2048,fwd,0.1741,1560.85,31.01,0.575,BM128/BN192/BK64/mw2/nw2/nb3,1214.44,1.285,1254.89,1.244
gpt-oss-20b,fc1,4,2048,wgrad,0.1927,1410.26,28.02,0.255,BM256/BN256/BK128/mw4/nw2/nb2,700.8,2.012,68.71,20.525
gpt-oss-20b,fc2,1,512,dgrad,0.0401,846.78,16.82,0.68,BM128/BN128/BK64/mw2/nw2/nb3,531.86,1.592,52.55,16.114
gpt-oss-20b,fc2,1,512,fwd,0.0405,838.19,16.65,0.638,BM128/BN128/BK64/mw2/nw2/nb3,505.7,1.657,329.8,2.542
gpt-oss-20b,fc2,1,512,wgrad,0.0462,736.08,14.62,0.324,BM256/BN256/BK128/mw4/nw2/nb2,414.35,1.776,61.14,12.039
gpt-oss-20b,fc2,2,1024,dgrad,0.0568,1195.8,23.76,0.598,BM256/BN256/BK64/mw2/nw2/nb3,996.03,1.201,69.05,17.318
gpt-oss-20b,fc2,2,1024,fwd,0.0562,1208.25,24.01,0.727,BM256/BN256/BK64/mw2/nw2/nb3,952.85,1.268,585.25,2.065
gpt-oss-20b,fc2,2,1024,wgrad,0.0689,986.46,19.6,0.225,BM256/BN256/BK128/mw4/nw2/nb2,529.61,1.863,65.88,14.974
gpt-oss-20b,fc2,4,2048,dgrad,0.0903,1504.89,29.9,0.251,BM128/BN192/BK64/mw2/nw2/nb3,995.39,1.512,71.89,20.933
gpt-oss-20b,fc2,4,2048,fwd,0.0903,1505.74,29.92,0.469,BM128/BN192/BK64/mw2/nw2/nb3,955.83,1.575,904.4,1.665
gpt-oss-20b,fc2,4,2048,wgrad,0.1154,1177.21,23.39,0.302,BM256/BN256/BK128/mw4/nw2/nb2,589.78,1.996,68.62,17.155
qwen3-30b-a3b,fc1,1,512,dgrad,0.1239,1109.53,22.04,0.269,BM256/BN256/BK128/mw2/nw2/nb2,1370.73,0.809,63.41,17.498
qwen3-30b-a3b,fc1,1,512,fwd,0.1116,1231.77,24.47,0.72,BM256/BN256/BK128/mw2/nw2/nb2,1189.21,1.036,604.39,2.038
qwen3-30b-a3b,fc1,1,512,wgrad,0.1106,1242.78,24.69,0.274,BM256/BN256/BK128/mw4/nw2/nb2,601.99,2.064,61.89,20.08
qwen3-30b-a3b,fc1,2,1024,dgrad,0.1854,1482.7,29.46,0.403,BM256/BN256/BK128/mw2/nw2/nb2,1424.56,1.041,65.84,22.52
qwen3-30b-a3b,fc1,2,1024,fwd,0.177,1552.78,30.85,0.618,BM256/BN256/BK128/mw2/nw2/nb2,1241.44,1.251,860.77,1.804
qwen3-30b-a3b,fc1,2,1024,wgrad,0.1877,1464.27,29.09,0.555,BM256/BN256/BK128/mw4/nw2/nb2,752.48,1.946,65.19,22.462
