Model,Layer,Batch,AvgM,Direction,fly_TF,other_TF,speedup
gpt-oss-20b,fc1,1,512,fwd,878.77,508.41,1.7284671819987805
gpt-oss-20b,fc1,1,512,dgrad,932.95,54.24,17.200405604719766
gpt-oss-20b,fc1,1,512,dgrad_tr,221.38,54.24,4.081489675516224
gpt-oss-20b,fc1,1,512,wgrad,994.68,64.43,15.438149930156756
gpt-oss-20b,fc2,1,512,fwd,838.19,329.8,2.5415100060642817
gpt-oss-20b,fc2,1,512,dgrad,846.78,52.55,16.113796384395815
gpt-oss-20b,fc2,1,512,dgrad_tr,198.74,52.55,3.781921979067555
gpt-oss-20b,fc2,1,512,wgrad,736.08,61.14,12.039254170755644
gpt-oss-20b,fc1,2,1024,fwd,1309.04,855.7,1.5297884772700712
gpt-oss-20b,fc1,2,1024,dgrad,1425.72,71.75,19.870662020905925
gpt-oss-20b,fc1,2,1024,dgrad_tr,411.83,71.75,5.73979094076655
gpt-oss-20b,fc1,2,1024,wgrad,1260.79,67.54,18.6673082617708
gpt-oss-20b,fc2,2,1024,fwd,1208.25,585.25,2.0645023494233232
gpt-oss-20b,fc2,2,1024,dgrad,1195.8,69.05,17.317885590152063
gpt-oss-20b,fc2,2,1024,dgrad_tr,369.67,69.05,5.353656770456191
gpt-oss-20b,fc2,2,1024,wgrad,986.46,65.88,14.973588342440802
gpt-oss-20b,fc1,4,2048,fwd,1560.85,1254.89,1.2438141988540827
gpt-oss-20b,fc1,4,2048,dgrad,1598.8,70.94,22.537355511700028
gpt-oss-20b,fc1,4,2048,dgrad_tr,669.73,70.94,9.440795038060333
gpt-oss-20b,fc1,4,2048,wgrad,1410.26,68.71,20.524814437490907
gpt-oss-20b,fc2,4,2048,fwd,1505.74,904.4,1.664904909332154
gpt-oss-20b,fc2,4,2048,dgrad,1504.89,71.89,20.93323132563639
gpt-oss-20b,fc2,4,2048,dgrad_tr,627.25,71.89,8.725135623869802
gpt-oss-20b,fc2,4,2048,wgrad,1177.21,68.62,17.15549402506558
qwen3-30b-a3b,fc1,1,512,fwd,1231.77,604.39,2.0380383527192705
qwen3-30b-a3b,fc1,1,512,dgrad,1109.53,63.41,17.497713294433055
qwen3-30b-a3b,fc1,1,512,dgrad_tr,253.38,63.41,3.995899700362719
qwen3-30b-a3b,fc1,1,512,wgrad,1242.78,61.89,20.080465341735337
qwen3-30b-a3b,fc2,1,512,fwd,947.11,327.16,2.8949443697273503
qwen3-30b-a3b,fc2,1,512,dgrad,951.98,69.9,13.619170243204577
qwen3-30b-a3b,fc2,1,512,dgrad_tr,229.21,69.9,3.279113018597997
qwen3-30b-a3b,fc2,1,512,wgrad,1208.26,58.19,20.76404880563671
qwen3-30b-a3b,fc1,2,1024,fwd,1552.78,860.77,1.803942981284199
qwen3-30b-a3b,fc1,2,1024,dgrad,1482.7,65.84,22.519744835965977
qwen3-30b-a3b,fc1,2,1024,dgrad_tr,455.94,65.84,6.924969623329282
qwen3-30b-a3b,fc1,2,1024,wgrad,1464.27,65.19,22.46157386102163
qwen3-30b-a3b,fc2,2,1024,fwd,1304.96,602.92,2.164399920387448
qwen3-30b-a3b,fc2,2,1024,dgrad,1308.32,58.81,22.24655670804285
qwen3-30b-a3b,fc2,2,1024,dgrad_tr,414.21,58.81,7.043189933684747
qwen3-30b-a3b,fc2,2,1024,wgrad,1450.39,61.73,23.4957071116151
qwen3-30b-a3b,fc1,4,2048,fwd,1758.29,1171.57,1.500798074378825
qwen3-30b-a3b,fc1,4,2048,dgrad,1766.98,71.06,24.86602870813397
qwen3-30b-a3b,fc1,4,2048,dgrad_tr,756.6,71.06,10.647340275823248
qwen3-30b-a3b,fc1,4,2048,wgrad,1669.38,67.09,24.8826948874646
qwen3-30b-a3b,fc2,4,2048,fwd,1601.75,901.67,1.7764259651535486
qwen3-30b-a3b,fc2,4,2048,dgrad,1607.46,61.11,26.304369170348554
qwen3-30b-a3b,fc2,4,2048,dgrad_tr,691.19,61.11,11.310587465226641
qwen3-30b-a3b,fc2,4,2048,wgrad,1623.9,65.73,24.705613874942948
qwen3-235b-a22b,fc1,1,512,fwd,1428.05,1058.49,1.349138867632193
qwen3-235b-a22b,fc1,1,512,dgrad,1462.77,71.02,20.59659250915235
qwen3-235b-a22b,fc1,1,512,dgrad_tr,290.42,71.02,4.089270627992115
qwen3-235b-a22b,fc1,1,512,wgrad,1242.13,65.93,18.84013347489762
qwen3-235b-a22b,fc2,1,512,fwd,1393.55,788.71,1.7668724879867124
qwen3-235b-a22b,fc2,1,512,dgrad,1389.42,66.66,20.843384338433847
qwen3-235b-a22b,fc2,1,512,dgrad_tr,263.12,66.66,3.9471947194719474
qwen3-235b-a22b,fc2,1,512,wgrad,1223.61,66.12,18.505898366606168
qwen3-235b-a22b,fc1,2,1024,fwd,1701.6,1505.61,1.1301731524099867
qwen3-235b-a22b,fc1,2,1024,dgrad,1755.0,72.14,24.327696146382035
qwen3-235b-a22b,fc1,2,1024,dgrad_tr,514.88,72.14,7.137233157748821
qwen3-235b-a22b,fc1,2,1024,wgrad,1519.75,69.88,21.74799656554093
qwen3-235b-a22b,fc2,2,1024,fwd,1674.92,893.64,1.8742670426569985
qwen3-235b-a22b,fc2,2,1024,dgrad,1679.62,70.68,23.763723825693262
qwen3-235b-a22b,fc2,2,1024,dgrad_tr,468.04,70.68,6.621958121109224
qwen3-235b-a22b,fc2,2,1024,wgrad,1489.95,68.69,21.690930266414327
qwen3-235b-a22b,fc1,4,2048,fwd,1921.05,1991.63,0.9645616906754768
qwen3-235b-a22b,fc1,4,2048,dgrad,1972.88,73.74,26.75454298887985
qwen3-235b-a22b,fc1,4,2048,dgrad_tr,833.82,73.74,11.307567127746136
qwen3-235b-a22b,fc1,4,2048,wgrad,1714.88,70.86,24.200959638724246
qwen3-235b-a22b,fc2,4,2048,fwd,1897.28,1545.89,1.2273059532049497
qwen3-235b-a22b,fc2,4,2048,dgrad,1896.97,73.12,25.94324398249453
qwen3-235b-a22b,fc2,4,2048,dgrad_tr,775.95,73.12,10.612007658643327
qwen3-235b-a22b,fc2,4,2048,wgrad,1690.89,69.93,24.17975117975118
deepseek-v3,fc1,1,128,fwd,825.69,243.18,3.3953861337281026
deepseek-v3,fc1,1,128,dgrad,822.71,63.71,12.913357400722022
deepseek-v3,fc1,1,128,dgrad_tr,74.85,63.71,1.174854810861717
deepseek-v3,fc1,1,128,wgrad,580.72,57.14,10.163108155407771
deepseek-v3,fc2,1,128,fwd,746.74,313.0,2.3857507987220448
deepseek-v3,fc2,1,128,dgrad,759.4,22.73,33.40959084909811
deepseek-v3,fc2,1,128,dgrad_tr,66.52,22.73,2.9265288165420147
deepseek-v3,fc2,1,128,wgrad,638.06,52.03,12.263309629060156
deepseek-v3,fc1,2,256,fwd,1129.96,454.21,2.487747957992999
deepseek-v3,fc1,2,256,dgrad,1109.77,64.0,17.34015625
deepseek-v3,fc1,2,256,dgrad_tr,142.78,64.0,2.2309375
deepseek-v3,fc1,2,256,wgrad,888.57,62.69,14.174030945924391
deepseek-v3,fc2,2,256,fwd,1021.56,485.3,2.1050072120337933
deepseek-v3,fc2,2,256,dgrad,1101.62,44.43,24.794508215169927
deepseek-v3,fc2,2,256,dgrad_tr,129.0,44.43,2.9034436191762323
deepseek-v3,fc2,2,256,wgrad,909.89,60.11,15.137082016303443
deepseek-v3,fc1,4,512,fwd,1474.43,588.23,2.5065535589820307
