Model,Layer,Batch,AvgM,Direction,fly_TF,other_TF,speedup
gpt-oss-20b,fc1,1,512,fwd,878.77,903.54,0.9725856077207429
gpt-oss-20b,fc1,1,512,dgrad,932.95,564.68,1.6521746830063047
gpt-oss-20b,fc1,1,512,dgrad_tr,221.38,564.68,0.3920450520648863
gpt-oss-20b,fc1,1,512,wgrad,994.68,481.08,2.0675979047143924
gpt-oss-20b,fc2,1,512,fwd,838.19,508.7,1.6477098486337725
gpt-oss-20b,fc2,1,512,dgrad,846.78,529.57,1.59899541137149
gpt-oss-20b,fc2,1,512,dgrad_tr,198.74,529.57,0.3752856090790641
gpt-oss-20b,fc2,1,512,wgrad,736.08,412.49,1.7844796237484546
gpt-oss-20b,fc1,2,1024,fwd,1309.04,950.42,1.3773279181835398
gpt-oss-20b,fc1,2,1024,dgrad,1425.72,1076.0,1.3250185873605949
gpt-oss-20b,fc1,2,1024,dgrad_tr,411.83,1076.0,0.38274163568773234
gpt-oss-20b,fc1,2,1024,wgrad,1260.79,611.64,2.0613269243345758
gpt-oss-20b,fc2,2,1024,fwd,1208.25,949.89,1.2719893882449547
gpt-oss-20b,fc2,2,1024,dgrad,1195.8,991.17,1.2064529798117376
gpt-oss-20b,fc2,2,1024,dgrad_tr,369.67,991.17,0.37296326563556204
gpt-oss-20b,fc2,2,1024,wgrad,986.46,534.69,1.8449194860573415
gpt-oss-20b,fc1,4,2048,fwd,1560.85,1238.48,1.2602948775918867
gpt-oss-20b,fc1,4,2048,dgrad,1598.8,1105.54,1.4461711019049515
gpt-oss-20b,fc1,4,2048,dgrad_tr,669.73,1105.54,0.6057944533892939
gpt-oss-20b,fc1,4,2048,wgrad,1410.26,703.6,2.0043490619670266
gpt-oss-20b,fc2,4,2048,fwd,1505.74,954.73,1.5771369916101934
gpt-oss-20b,fc2,4,2048,dgrad,1504.89,995.86,1.5111461450404675
gpt-oss-20b,fc2,4,2048,dgrad_tr,627.25,995.86,0.629857610507501
gpt-oss-20b,fc2,4,2048,wgrad,1177.21,588.33,2.0009348494892323
qwen3-30b-a3b,fc1,1,512,fwd,1231.77,1171.26,1.0516623123815378
qwen3-30b-a3b,fc1,1,512,dgrad,1109.53,1389.2,0.7986826950763029
qwen3-30b-a3b,fc1,1,512,dgrad_tr,253.38,1389.2,0.1823927440253383
qwen3-30b-a3b,fc1,1,512,wgrad,1242.78,600.88,2.0682665424044733
qwen3-30b-a3b,fc2,1,512,fwd,947.11,1180.12,0.802553977561604
qwen3-30b-a3b,fc2,1,512,dgrad,951.98,1237.05,0.7695566064427469
qwen3-30b-a3b,fc2,1,512,dgrad_tr,229.21,1237.05,0.1852875793217736
qwen3-30b-a3b,fc2,1,512,wgrad,1208.26,606.26,1.9929733117804243
qwen3-30b-a3b,fc1,2,1024,fwd,1552.78,1234.31,1.2580145992497833
qwen3-30b-a3b,fc1,2,1024,dgrad,1482.7,1449.07,1.0232079885719807
qwen3-30b-a3b,fc1,2,1024,dgrad_tr,455.94,1449.07,0.31464318493930593
qwen3-30b-a3b,fc1,2,1024,wgrad,1464.27,752.17,1.9467274685244027
qwen3-30b-a3b,fc2,2,1024,fwd,1304.96,1242.62,1.0501681930115403
qwen3-30b-a3b,fc2,2,1024,dgrad,1308.32,1301.82,1.0049930097862991
qwen3-30b-a3b,fc2,2,1024,dgrad_tr,414.21,1301.82,0.31817762824353596
qwen3-30b-a3b,fc2,2,1024,wgrad,1450.39,739.4,1.96157695428726
qwen3-30b-a3b,fc1,4,2048,fwd,1758.29,1264.51,1.3904911784011198
qwen3-30b-a3b,fc1,4,2048,dgrad,1766.98,1449.03,1.2194226482543495
qwen3-30b-a3b,fc1,4,2048,dgrad_tr,756.6,1449.03,0.5221423987081013
qwen3-30b-a3b,fc1,4,2048,wgrad,1669.38,863.11,1.9341451263454255
qwen3-30b-a3b,fc2,4,2048,fwd,1601.75,1265.7,1.265505254009639
qwen3-30b-a3b,fc2,4,2048,dgrad,1607.46,1290.54,1.2455716211818308
qwen3-30b-a3b,fc2,4,2048,dgrad_tr,691.19,1290.54,0.5355820044322532
qwen3-30b-a3b,fc2,4,2048,wgrad,1623.9,851.07,1.9080686665021678
qwen3-235b-a22b,fc1,1,512,fwd,1428.05,1367.38,1.044369524199564
qwen3-235b-a22b,fc1,1,512,dgrad,1462.77,1483.36,0.9861193506633589
qwen3-235b-a22b,fc1,1,512,dgrad_tr,290.42,1483.36,0.19578524431021468
qwen3-235b-a22b,fc1,1,512,wgrad,1242.13,650.21,1.9103520401101184
qwen3-235b-a22b,fc2,1,512,fwd,1393.55,1299.25,1.0725803348085434
qwen3-235b-a22b,fc2,1,512,dgrad,1389.42,1388.58,1.0006049345374413
qwen3-235b-a22b,fc2,1,512,dgrad_tr,263.12,1388.58,0.18948854225179682
qwen3-235b-a22b,fc2,1,512,wgrad,1223.61,611.77,2.0001144220867317
qwen3-235b-a22b,fc1,2,1024,fwd,1701.6,1406.94,1.2094332380911765
qwen3-235b-a22b,fc1,2,1024,dgrad,1755.0,1535.27,1.1431214053554097
qwen3-235b-a22b,fc1,2,1024,dgrad_tr,514.88,1535.27,0.33536772033583667
qwen3-235b-a22b,fc1,2,1024,wgrad,1519.75,816.86,1.860477927674265
qwen3-235b-a22b,fc2,2,1024,fwd,1674.92,1372.25,1.2205647658954273
qwen3-235b-a22b,fc2,2,1024,dgrad,1679.62,1441.57,1.1651324597487462
qwen3-235b-a22b,fc2,2,1024,dgrad_tr,468.04,1441.57,0.3246737931560729
qwen3-235b-a22b,fc2,2,1024,wgrad,1489.95,761.15,1.9574985219733299
qwen3-235b-a22b,fc1,4,2048,fwd,1921.05,1407.63,1.36474073442595
qwen3-235b-a22b,fc1,4,2048,dgrad,1972.88,1536.48,1.2840258252629386
qwen3-235b-a22b,fc1,4,2048,dgrad_tr,833.82,1536.48,0.5426819743830054
qwen3-235b-a22b,fc1,4,2048,wgrad,1714.88,938.75,1.826769640479361
qwen3-235b-a22b,fc2,4,2048,fwd,1897.28,1396.19,1.3588981442353834
qwen3-235b-a22b,fc2,4,2048,dgrad,1896.97,1449.88,1.3083634507683393
qwen3-235b-a22b,fc2,4,2048,dgrad_tr,775.95,1449.88,0.5351822219769912
qwen3-235b-a22b,fc2,4,2048,wgrad,1690.89,870.93,1.9414763528641799
deepseek-v3,fc1,1,128,fwd,825.69,663.74,1.2439961430680688
deepseek-v3,fc1,1,128,dgrad,822.71,622.58,1.3214526647177873
deepseek-v3,fc1,1,128,dgrad_tr,74.85,622.58,0.12022551318706028
deepseek-v3,fc1,1,128,wgrad,580.72,252.18,2.3027995875961613
deepseek-v3,fc2,1,128,fwd,746.74,519.66,1.4369780240926762
deepseek-v3,fc2,1,128,dgrad,759.4,688.41,1.1031216862044422
deepseek-v3,fc2,1,128,dgrad_tr,66.52,688.41,0.09662846268938569
deepseek-v3,fc2,1,128,wgrad,638.06,285.77,2.2327746089512543
deepseek-v3,fc1,2,256,fwd,1129.96,1293.71,0.8734260382929714
deepseek-v3,fc1,2,256,dgrad,1109.77,1199.4,0.9252709688177421
deepseek-v3,fc1,2,256,dgrad_tr,142.78,1199.4,0.11904285476071368
deepseek-v3,fc1,2,256,wgrad,888.57,402.36,2.2083954667461976
deepseek-v3,fc2,2,256,fwd,1021.56,1006.97,1.014489011589223
deepseek-v3,fc2,2,256,dgrad,1101.62,1350.88,0.8154832405543052
deepseek-v3,fc2,2,256,dgrad_tr,129.0,1350.88,0.09549330806585336
deepseek-v3,fc2,2,256,wgrad,909.89,450.94,2.017762895285404
deepseek-v3,fc1,4,512,fwd,1474.43,1372.05,1.0746182719288657
deepseek-v3,fc1,4,512,dgrad,1403.66,1376.29,1.0198867971139804
deepseek-v3,fc1,4,512,dgrad_tr,264.85,1376.29,0.1924376403228971
deepseek-v3,fc1,4,512,wgrad,1219.2,575.1,2.119979134063641
deepseek-v3,fc2,4,512,fwd,1305.99,1166.26,1.1198103338878123
deepseek-v3,fc2,4,512,dgrad,1441.22,1429.44,1.008240989478397
deepseek-v3,fc2,4,512,dgrad_tr,242.09,1429.44,0.1693600291023058
deepseek-v3,fc2,4,512,wgrad,1241.72,633.79,1.9591978415563516
