Model,Layer,Batch,AvgM,Direction,fly_TF,other_TF,speedup
gpt-oss-20b,fc1,1,512,fwd,878.77,913.11,0.9623922638017325
gpt-oss-20b,fc1,1,512,dgrad,932.95,567.87,1.6428936200186663
gpt-oss-20b,fc1,1,512,dgrad_tr,221.38,567.87,0.38984274569883953
gpt-oss-20b,fc1,1,512,wgrad,994.68,480.76,2.0689741243031867
gpt-oss-20b,fc2,1,512,fwd,838.19,505.7,1.6574846747083252
gpt-oss-20b,fc2,1,512,dgrad,846.78,531.86,1.592110705824841
gpt-oss-20b,fc2,1,512,dgrad_tr,198.74,531.86,0.3736697627195127
gpt-oss-20b,fc2,1,512,wgrad,736.08,414.35,1.7764691685772898
gpt-oss-20b,fc1,2,1024,fwd,1309.04,957.12,1.367686392510866
gpt-oss-20b,fc1,2,1024,dgrad,1425.72,1078.87,1.321493785164107
gpt-oss-20b,fc1,2,1024,dgrad_tr,411.83,1078.87,0.38172346992686795
gpt-oss-20b,fc1,2,1024,wgrad,1260.79,606.62,2.0783851505060826
gpt-oss-20b,fc2,2,1024,fwd,1208.25,952.85,1.26803799128929
gpt-oss-20b,fc2,2,1024,dgrad,1195.8,996.03,1.2005662480045782
gpt-oss-20b,fc2,2,1024,dgrad_tr,369.67,996.03,0.3711434394546349
gpt-oss-20b,fc2,2,1024,wgrad,986.46,529.61,1.8626158871622516
gpt-oss-20b,fc1,4,2048,fwd,1560.85,1214.44,1.2852425809426566
gpt-oss-20b,fc1,4,2048,dgrad,1598.8,1112.96,1.436529614721104
gpt-oss-20b,fc1,4,2048,dgrad_tr,669.73,1112.96,0.6017556785508913
gpt-oss-20b,fc1,4,2048,wgrad,1410.26,700.8,2.012357305936073
gpt-oss-20b,fc2,4,2048,fwd,1505.74,955.83,1.5753219714802842
gpt-oss-20b,fc2,4,2048,dgrad,1504.89,995.39,1.5118596730929588
gpt-oss-20b,fc2,4,2048,dgrad_tr,627.25,995.39,0.6301550146173862
gpt-oss-20b,fc2,4,2048,wgrad,1177.21,589.78,1.9960154633931297
qwen3-30b-a3b,fc1,1,512,fwd,1231.77,1189.21,1.03578846461096
qwen3-30b-a3b,fc1,1,512,dgrad,1109.53,1370.73,0.8094446025110708
qwen3-30b-a3b,fc1,1,512,dgrad_tr,253.38,1370.73,0.18485040817666498
qwen3-30b-a3b,fc1,1,512,wgrad,1242.78,601.99,2.0644528978886694
qwen3-30b-a3b,fc2,1,512,fwd,947.11,1194.48,0.7929056995512692
qwen3-30b-a3b,fc2,1,512,dgrad,951.98,1235.27,0.7706655225173444
qwen3-30b-a3b,fc2,1,512,dgrad_tr,229.21,1235.27,0.18555457511313317
qwen3-30b-a3b,fc2,1,512,wgrad,1208.26,606.35,1.9926774964954233
qwen3-30b-a3b,fc1,2,1024,fwd,1552.78,1241.44,1.2507894058512694
qwen3-30b-a3b,fc1,2,1024,dgrad,1482.7,1424.56,1.0408126017858146
qwen3-30b-a3b,fc1,2,1024,dgrad_tr,455.94,1424.56,0.32005671926770374
