model,proj,batch,avg_m,M,N,K,sclk,native,hoist,fast_percall,triton,cv_native,cv_hoist,cv_fast_percall,cv_triton
gpt-oss-20b,fc1,1,512,2048,5760,2880,2245.2,0.06295,0.06233,0.09628,0.12019,0.23,0.49,0.15,0.3
gpt-oss-20b,fc1,2,1024,4096,5760,2880,2189.2,0.08964,0.08588,0.11896,0.1259,0.37,0.31,0.43,0.19
gpt-oss-20b,fc1,4,2048,8192,5760,2880,2173.6,0.16882,0.16158,0.19221,0.24544,0.23,0.3,0.21,0.27
gpt-oss-20b,fc2,1,512,2048,2880,2880,2290.9,0.0306,0.03107,0.05838,0.06447,0.51,0.2,0.17,0.34
gpt-oss-20b,fc2,2,1024,4096,2880,2880,2250.9,0.04816,0.04645,0.07236,0.06819,0.36,0.2,0.53,0.25
gpt-oss-20b,fc2,4,2048,8192,2880,2880,2165.5,0.09342,0.08145,0.10716,0.13634,0.23,0.4,0.47,0.21
qwen3-30b-a3b,fc1,1,512,8192,4096,2048,2159.9,0.11291,0.11073,0.15447,0.10052,0.22,0.14,0.23,0.23
qwen3-30b-a3b,fc1,2,1024,16384,4096,2048,2121.6,0.17948,0.17628,0.21757,0.19334,0.29,0.17,0.37,0.22
qwen3-30b-a3b,fc1,4,2048,32768,4096,2048,2105.2,0.30798,0.30271,0.34278,0.38198,0.22,0.25,0.21,0.22
qwen3-30b-a3b,fc2,1,512,8192,2048,2048,2236.9,0.06075,0.0591,0.09549,0.05626,0.3,0.21,0.11,0.47
qwen3-30b-a3b,fc2,2,1024,16384,2048,2048,2178.5,0.09596,0.09403,0.12792,0.10946,0.39,0.51,0.18,0.46
qwen3-30b-a3b,fc2,4,2048,32768,2048,2048,2140.4,0.16415,0.16195,0.19349,0.21354,0.26,0.4,0.46,0.63
qwen3-235b-a22b,fc1,1,512,8192,8192,4096,2065.2,0.37568,0.36878,0.50292,0.37623,0.69,0.36,0.22,0.31
qwen3-235b-a22b,fc1,2,1024,16384,8192,4096,2071.2,0.62891,0.61968,0.75401,0.72855,0.38,0.16,0.21,0.23
qwen3-235b-a22b,fc1,4,2048,32768,8192,4096,2071.6,1.11334,1.10315,1.23423,1.44254,0.33,0.26,0.21,0.18
qwen3-235b-a22b,fc2,1,512,8192,4096,4096,2081.0,0.19324,0.19076,0.25816,0.19969,0.38,0.51,0.33,0.25
qwen3-235b-a22b,fc2,2,1024,16384,4096,4096,2090.2,0.3254,0.31964,0.38864,0.38554,0.32,0.13,0.11,0.31
qwen3-235b-a22b,fc2,4,2048,32768,4096,4096,2092.1,0.57717,0.56817,0.63931,0.76502,0.47,0.1,0.24,0.12
deepseek-v3,fc1,1,128,4096,4096,7168,2085.4,0.29099,0.28464,0.52298,0.39028,0.28,0.37,0.42,0.21
deepseek-v3,fc1,2,256,8192,4096,7168,2098.1,0.43218,0.42358,0.6628,0.40353,0.27,0.25,0.46,0.16
deepseek-v3,fc1,4,512,16384,4096,7168,2085.5,0.68805,0.67559,0.91418,0.699,0.43,0.17,0.13,0.5
deepseek-v3,fc2,1,128,4096,7168,2048,2068.5,0.14235,0.14674,0.26294,0.17549,0.41,0.15,0.15,0.46
deepseek-v3,fc2,2,256,8192,7168,2048,2069.9,0.21133,0.20964,0.32649,0.18021,0.13,0.35,0.32,0.38
deepseek-v3,fc2,4,512,16384,7168,2048,2067.0,0.32915,0.32687,0.44285,0.34023,0.41,0.13,0.43,0.3
