模型,proj,G,EP,batch,seq,avg_m,M(总),N,K,dtype,ms,TF/s,MFU,config,sclk,cv,cv_flag
gpt-oss-20b,fc1,4,8,1,4096,512,2048,5760,2880,bf16,0.0629,1080.6,21.5%,BM128/BN128/BK128/mw2/nw2/nb2,2295,0.39,
gpt-oss-20b,fc1,4,8,2,4096,1024,4096,5760,2880,bf16,0.0895,1519.1,30.2%,BM256/BN256/BK128/mw2/nw2/nb2,2254,0.2,
gpt-oss-20b,fc1,4,8,4,4096,2048,8192,5760,2880,bf16,0.1686,1612.2,32.0%,BM256/BN256/BK128/mw2/nw2/nb2,2225,0.41,
gpt-oss-20b,fc2,4,8,1,4096,512,2048,2880,2880,bf16,0.0307,1107.5,22.0%,BM128/BN256/BK64/mw2/nw2/nb3,2331,0.46,
gpt-oss-20b,fc2,4,8,2,4096,1024,4096,2880,2880,bf16,0.0482,1409.5,28.0%,BM256/BN256/BK64/mw2/nw2/nb3,2315,0.12,
gpt-oss-20b,fc2,4,8,4,4096,2048,8192,2880,2880,bf16,0.0931,1459.5,29.0%,BM256/BN256/BK64/mw2/nw2/nb3,2282,0.24,
qwen3-30b-a3b,fc1,16,8,1,8192,512,8192,4096,2048,bf16,0.1126,1221.0,24.3%,BM256/BN256/BK128/mw2/nw2/nb2,2267,0.2,
qwen3-30b-a3b,fc1,16,8,2,8192,1024,16384,4096,2048,bf16,0.179,1535.9,30.5%,BM256/BN256/BK128/mw2/nw2/nb2,2228,0.29,
qwen3-30b-a3b,fc1,16,8,4,8192,2048,32768,4096,2048,bf16,0.3072,1789.4,35.6%,BM256/BN256/BK128/mw2/nw2/nb2,2218,0.23,
qwen3-30b-a3b,fc2,16,8,1,8192,512,8192,2048,2048,bf16,0.0606,1133.7,22.5%,BM256/BN256/BK128/mw2/nw2/nb2,2306,0.28,
qwen3-30b-a3b,fc2,16,8,2,8192,1024,16384,2048,2048,bf16,0.096,1431.1,28.4%,BM256/BN256/BK128/mw2/nw2/nb2,2266,0.7,
qwen3-30b-a3b,fc2,16,8,4,8192,2048,32768,2048,2048,bf16,0.1637,1679.4,33.4%,BM256/BN256/BK128/mw2/nw2/nb2,2227,0.27,
qwen3-235b-a22b,fc1,16,8,1,8192,512,8192,8192,4096,bf16,0.3743,1468.6,29.2%,BM256/BN256/BK128/mw2/nw2/nb2,2189,0.43,
qwen3-235b-a22b,fc1,16,8,2,8192,1024,16384,8192,4096,bf16,0.6283,1750.0,34.8%,BM256/BN256/BK128/mw2/nw2/nb2,2197,0.24,
qwen3-235b-a22b,fc1,16,8,4,8192,2048,32768,8192,4096,bf16,1.1146,1972.9,39.2%,BM256/BN256/BK128/mw2/nw2/nb2,2187,0.26,
qwen3-235b-a22b,fc2,16,8,1,8192,512,8192,4096,4096,bf16,0.193,1424.4,28.3%,BM256/BN256/BK128/mw2/nw2/nb2,2193,0.32,
qwen3-235b-a22b,fc2,16,8,2,8192,1024,16384,4096,4096,bf16,0.3254,1689.7,33.6%,BM256/BN256/BK128/mw2/nw2/nb2,2191,0.36,
qwen3-235b-a22b,fc2,16,8,4,8192,2048,32768,4096,4096,bf16,0.5775,1903.8,37.8%,BM256/BN256/BK128/mw2/nw2/nb2,2202,0.25,
deepseek-v3,fc1,32,8,1,4096,128,4096,4096,7168,bf16,0.2922,823.2,16.4%,BM128/BN128/BK128/mw2/nw2/nb2,2189,0.47,
deepseek-v3,fc1,32,8,2,4096,256,8192,4096,7168,bf16,0.4318,1114.0,22.1%,BM256/BN256/BK128/mw2/nw2/nb2,2209,0.29,
deepseek-v3,fc1,32,8,4,4096,512,16384,4096,7168,bf16,0.6867,1401.1,27.8%,BM256/BN256/BK128/mw2/nw2/nb2,2203,0.18,
deepseek-v3,fc2,32,8,1,4096,128,4096,7168,2048,bf16,0.1422,846.0,16.8%,BM128/BN128/BK128/mw2/nw2/nb2,2188,0.4,
deepseek-v3,fc2,32,8,2,4096,256,8192,7168,2048,bf16,0.2116,1136.5,22.6%,BM256/BN256/BK128/mw2/nw2/nb2,2200,0.16,
deepseek-v3,fc2,32,8,4,4096,512,16384,7168,2048,bf16,0.3287,1463.7,29.1%,BM256/BN256/BK128/mw2/nw2/nb2,2186,0.28,
