模型,proj,G,EP,batch,seq,avg_m,M(总),N,K,dtype,ms,TF/s,MFU,config,sclk,cv,cv_flag
gpt-oss-20b,fc1,4,8,1,4096,512,2048,5760,2880,bf16,0.0669,1015.5,20.2%,BM128/BN128/BK64/mw2/nw2/nb3,2237,0.45,
gpt-oss-20b,fc1,4,8,2,4096,1024,4096,5760,2880,bf16,0.0957,1419.8,28.2%,BM256/BN256/BK64/mw2/nw2/nb3,2191,0.34,
gpt-oss-20b,fc1,4,8,4,4096,2048,8192,5760,2880,bf16,0.1687,1611.4,32.0%,BM128/BN192/BK64/mw2/nw2/nb3,2128,0.44,
gpt-oss-20b,fc2,4,8,1,4096,512,2048,2880,2880,bf16,0.0301,1128.2,22.4%,BM128/BN128/BK64/mw2/nw2/nb3,2304,0.53,
gpt-oss-20b,fc2,4,8,2,4096,1024,4096,2880,2880,bf16,0.0466,1457.3,29.0%,BM256/BN256/BK64/mw2/nw2/nb3,2268,0.33,
gpt-oss-20b,fc2,4,8,4,4096,2048,8192,2880,2880,bf16,0.0823,1651.3,32.8%,BM128/BN192/BK64/mw2/nw2/nb3,2200,0.21,
qwen3-30b-a3b,fc1,16,8,1,8192,512,8192,4096,2048,bf16,0.1014,1355.2,26.9%,BM256/BN256/BK128/mw2/nw2/nb2,2203,0.63,
qwen3-30b-a3b,fc1,16,8,2,8192,1024,16384,4096,2048,bf16,0.1696,1621.0,32.2%,BM256/BN256/BK128/mw2/nw2/nb2,2141,0.45,
qwen3-30b-a3b,fc1,16,8,4,8192,2048,32768,4096,2048,bf16,0.3033,1812.9,36.0%,BM256/BN256/BK128/mw2/nw2/nb2,2118,0.35,
qwen3-30b-a3b,fc2,16,8,1,8192,512,8192,2048,2048,bf16,0.0589,1167.0,23.2%,BM256/BN256/BK128/mw2/nw2/nb2,2267,0.38,
qwen3-30b-a3b,fc2,16,8,2,8192,1024,16384,2048,2048,bf16,0.0942,1458.5,29.0%,BM256/BN256/BK128/mw2/nw2/nb2,2190,0.42,
qwen3-30b-a3b,fc2,16,8,4,8192,2048,32768,2048,2048,bf16,0.1621,1695.7,33.7%,BM256/BN256/BK128/mw2/nw2/nb2,2124,0.19,
qwen3-235b-a22b,fc1,16,8,1,8192,512,8192,8192,4096,bf16,0.3788,1451.1,28.8%,BM256/BN256/BK128/mw2/nw2/nb2,2151,0.35,
qwen3-235b-a22b,fc1,16,8,2,8192,1024,16384,8192,4096,bf16,0.6365,1727.5,34.3%,BM256/BN256/BK128/mw2/nw2/nb2,2126,0.44,
qwen3-235b-a22b,fc1,16,8,4,8192,2048,32768,8192,4096,bf16,1.1246,1955.4,38.8%,BM256/BN256/BK128/mw2/nw2/nb2,2108,0.33,
qwen3-235b-a22b,fc2,16,8,1,8192,512,8192,4096,4096,bf16,0.19,1446.5,28.7%,BM256/BN256/BK128/mw2/nw2/nb2,2154,0.21,
qwen3-235b-a22b,fc2,16,8,2,8192,1024,16384,4096,4096,bf16,0.3198,1718.8,34.2%,BM256/BN256/BK128/mw2/nw2/nb2,2116,0.15,
qwen3-235b-a22b,fc2,16,8,4,8192,2048,32768,4096,4096,bf16,0.569,1932.5,38.4%,BM256/BN256/BK128/mw2/nw2/nb2,2106,0.2,
deepseek-v3,fc1,32,8,1,4096,128,4096,4096,7168,bf16,0.2858,841.7,16.7%,BM128/BN128/BK128/mw2/nw2/nb2,2186,0.58,
deepseek-v3,fc1,32,8,2,4096,256,8192,4096,7168,bf16,0.4141,1161.6,23.1%,BM256/BN256/BK128/mw2/nw2/nb2,2184,0.5,
deepseek-v3,fc1,32,8,4,4096,512,16384,4096,7168,bf16,0.6444,1492.9,29.7%,BM256/BN256/BK128/mw2/nw2/nb2,2155,0.45,
deepseek-v3,fc2,32,8,1,4096,128,4096,7168,2048,bf16,0.1523,789.5,15.7%,BM128/BN128/BK128/mw2/nw2/nb2,2206,1.98,
deepseek-v3,fc2,32,8,2,4096,256,8192,7168,2048,bf16,0.2237,1074.9,21.4%,BM256/BN256/BK128/mw2/nw2/nb2,2187,0.28,
deepseek-v3,fc2,32,8,4,4096,512,16384,7168,2048,bf16,0.3557,1352.3,26.9%,BM256/BN256/BK128/mw2/nw2/nb2,2156,0.6,
