模型,proj,G,EP,batch,seq,avg_m,M(总),N,K,dtype,ms,TF/s,MFU,config,sclk,cv,cv_flag
gpt-oss-20b,fc1,4,8,1,4096,512,2048,5760,2880,bf16,0.0649,1047.1,20.8%,BM256/BN256/BK128/mw4/nw2/nb2,2237,0.18,
gpt-oss-20b,fc1,4,8,2,4096,1024,4096,5760,2880,bf16,0.1042,1303.9,25.9%,BM256/BN256/BK128/mw4/nw2/nb2,2191,0.67,
gpt-oss-20b,fc1,4,8,4,4096,2048,8192,5760,2880,bf16,0.1899,1431.5,28.4%,BM256/BN256/BK128/mw4/nw2/nb2,2128,0.23,
gpt-oss-20b,fc2,4,8,1,4096,512,2048,2880,2880,bf16,0.041,827.8,16.4%,BM256/BN256/BK128/mw4/nw2/nb2,2304,0.19,
gpt-oss-20b,fc2,4,8,2,4096,1024,4096,2880,2880,bf16,0.0638,1064.2,21.1%,BM256/BN256/BK128/mw4/nw2/nb2,2268,0.08,
gpt-oss-20b,fc2,4,8,4,4096,2048,8192,2880,2880,bf16,0.1118,1215.4,24.1%,BM256/BN256/BK128/mw4/nw2/nb2,2200,0.27,
qwen3-30b-a3b,fc1,16,8,1,8192,512,8192,4096,2048,bf16,0.1048,1311.3,26.1%,BM256/BN256/BK128/mw4/nw2/nb2,2203,0.17,
qwen3-30b-a3b,fc1,16,8,2,8192,1024,16384,4096,2048,bf16,0.1812,1516.9,30.1%,BM256/BN256/BK128/mw4/nw2/nb2,2141,0.23,
qwen3-30b-a3b,fc1,16,8,4,8192,2048,32768,4096,2048,bf16,0.321,1712.8,34.0%,BM256/BN256/BK128/mw4/nw2/nb2,2118,0.3,
qwen3-30b-a3b,fc2,16,8,1,8192,512,8192,2048,2048,bf16,0.0521,1319.9,26.2%,BM256/BN256/BK128/mw4/nw2/nb2,2267,0.48,
qwen3-30b-a3b,fc2,16,8,2,8192,1024,16384,2048,2048,bf16,0.0911,1509.1,30.0%,BM256/BN256/BK128/mw4/nw2/nb2,2190,0.15,
qwen3-30b-a3b,fc2,16,8,4,8192,2048,32768,2048,2048,bf16,0.1652,1664.4,33.1%,BM256/BN256/BK128/mw4/nw2/nb2,2124,0.23,
qwen3-235b-a22b,fc1,16,8,1,8192,512,8192,8192,4096,bf16,0.4285,1282.8,25.5%,BM256/BN256/BK128/mw4/nw2/nb2,2151,0.28,
qwen3-235b-a22b,fc1,16,8,2,8192,1024,16384,8192,4096,bf16,0.7051,1559.4,31.0%,BM256/BN256/BK128/mw4/nw2/nb2,2126,0.25,
qwen3-235b-a22b,fc1,16,8,4,8192,2048,32768,8192,4096,bf16,1.2509,1758.0,34.9%,BM256/BN256/BK128/mw4/nw2/nb2,2108,0.19,
qwen3-235b-a22b,fc2,16,8,1,8192,512,8192,4096,4096,bf16,0.2156,1275.0,25.3%,BM256/BN256/BK128/mw4/nw2/nb2,2154,0.15,
qwen3-235b-a22b,fc2,16,8,2,8192,1024,16384,4096,4096,bf16,0.3615,1520.8,30.2%,BM256/BN256/BK128/mw4/nw2/nb2,2116,0.17,
qwen3-235b-a22b,fc2,16,8,4,8192,2048,32768,4096,4096,bf16,0.6374,1725.1,34.3%,BM256/BN256/BK128/mw4/nw2/nb2,2106,0.13,
deepseek-v3,fc1,32,8,1,4096,128,4096,4096,7168,bf16,0.4046,594.4,11.8%,BM256/BN256/BK128/mw4/nw2/nb2,2186,0.07,
deepseek-v3,fc1,32,8,2,4096,256,8192,4096,7168,bf16,0.5278,911.5,18.1%,BM256/BN256/BK128/mw4/nw2/nb2,2184,0.2,
deepseek-v3,fc1,32,8,4,4096,512,16384,4096,7168,bf16,0.7649,1257.7,25.0%,BM256/BN256/BK128/mw4/nw2/nb2,2155,0.22,
deepseek-v3,fc2,32,8,1,4096,128,4096,7168,2048,bf16,0.1903,632.0,12.6%,BM256/BN256/BK128/mw4/nw2/nb2,2206,0.07,
deepseek-v3,fc2,32,8,2,4096,256,8192,7168,2048,bf16,0.2668,901.6,17.9%,BM256/BN256/BK128/mw4/nw2/nb2,2187,0.2,
deepseek-v3,fc2,32,8,4,4096,512,16384,7168,2048,bf16,0.3903,1232.4,24.5%,BM256/BN256/BK128/mw4/nw2/nb2,2156,0.3,
