 N_red  N_out   G  avg_m | BN128 nat/hoi BN256 nat/hoi | BN256/BN128 native
------------------------------------------------------------------------------------
  2880   2048   4    128 |         0.988         0.988 |              0.666
  2880   2048   4    512 |         0.961         1.024 |              0.961
  2880   2048   4   1024 |         0.868         1.172 |              1.167
  2880   2048   8    128 |         1.135         1.026 |              0.736
  2880   2048   8    512 |         0.934         1.248 |              1.222
  2880   2048   8   1024 |         0.916         1.140 |              1.168
  2880   2880   4    128 |         1.056         0.995 |              0.753
  2880   2880   4    512 |         0.771         1.011 |              1.278
  2880   2880   4   1024 |         0.759         1.144 |              1.446
  2880   2880   8    128 |         0.945         1.053 |              1.053
  2880   2880   8    512 |         0.831         1.184 |              1.408
  2880   2880   8   1024 |         0.794         1.161 |              1.392
  2880   4096   4    128 |         1.040         1.038 |              0.848
  2880   4096   4    512 |         0.920         1.250 |              1.251
  2880   4096   4   1024 |         0.916         1.129 |              1.171
  2880   4096   8    128 |         1.010         1.095 |              1.066
  2880   4096   8    512 |         0.948         1.137 |              1.168
  2880   4096   8   1024 |         0.938         1.173 |              1.224
  1472   2048   4    128 |         1.003         0.990 |              0.733
  1472   2048   4    512 |         0.861         0.995 |              0.982
  1472   2048   4   1024 |         0.803         1.167 |              1.295
  1472   2048   8    128 |         0.928         0.993 |              0.756
  1472   2048   8    512 |         0.876         1.179 |              1.279
  1472   2048   8   1024 |         0.851         1.125 |              1.272
  1472   2880   4    128 |         0.884         0.983 |              0.800
  1472   2880   4    512 |         0.646         0.972 |              1.441
  1472   2880   4   1024 |         0.713         1.085 |              1.485
  1472   2880   8    128 |         0.753         0.977 |              1.145
  1472   2880   8    512 |         0.736         1.090 |              1.478
  1472   2880   8   1024 |         0.750         1.117 |              1.439
  1472   4096   4    128 |         0.845         0.986 |              0.884
  1472   4096   4    512 |         0.852         1.180 |              1.334
  1472   4096   4   1024 |         0.845         1.112 |              1.282
  1472   4096   8    128 |         0.842         1.098 |              1.221
  1472   4096   8    512 |         0.883         1.122 |              1.254
  1472   4096   8   1024 |         0.922         1.195 |              1.276
  4416   2048   4    128 |         1.046         0.984 |              0.755
  4416   2048   4    512 |         0.985         1.051 |              0.958
  4416   2048   4   1024 |         0.900         1.206 |              1.186
  4416   2048   8    128 |         1.047         1.082 |              0.875
  4416   2048   8    512 |         0.957         1.258 |              1.219
  4416   2048   8   1024 |         0.918         1.150 |              1.194
  4416   2880   4    128 |         1.035         1.046 |              0.847
  4416   2880   4    512 |         0.838         1.060 |              1.218
  4416   2880   4   1024 |         0.808         1.195 |              1.416
  4416   2880   8    128 |         0.975         1.072 |              1.048
  4416   2880   8    512 |         0.827         1.187 |              1.422
  4416   2880   8   1024 |         0.786         1.150 |              1.405
  4416   4096   4    128 |         1.090         1.138 |              0.904
  4416   4096   4    512 |         0.947         1.289 |              1.269
  4416   4096   4   1024 |         0.922         1.149 |              1.191
  4416   4096   8    128 |         1.034         1.090 |              1.046
  4416   4096   8    512 |         0.951         1.132 |              1.167
  4416   4096   8   1024 |         0.929         1.163 |              1.227
------------------------------------------------------------------------------------
BN128 native/hoist : geomean 0.8963  min 0.646 max 1.135  (10/54 >= 1)
BN256 native/hoist : geomean 1.1031  min 0.972 max 1.289  (44/54 >= 1)
BN256 vs BN128 for native : geomean 1.1180  min 0.666 max 1.485  (39/54 favour BN256)
